timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
356000,300800,197388,-0.008215181,-0.21609657,0.4286203,0
368000,368000,197388,-0.0013253897,-0.21601154,0.42937315,0
500000,439272,197388,0.003055699,-0.21537818,0.4301196,0
512000,512000,197388,0.0008664307,-0.21452048,0.42185852,0
644000,584000,197388,0.0032211065,-0.21736638,0.4292688,0
656000,656000,197388,0.0046363235,-0.21866739,0.4230381,0
788000,727636,197388,0.003257161,-0.21670914,0.4294833,0
800000,800000,197388,0.000840504,-0.212031,0.4353049,0
932000,872000,197388,0.0013493238,-0.21544397,0.4286187,0
944000,944000,197388,0.006771572,-0.21503252,0.430063,0
1076000,1015272,197388,0.0029334642,-0.21471919,0.43084583,0
1088000,1088000,197388,-0.00021374573,-0.2097104,0.42847124,0
1220000,1159636,197388,0.0024961792,-0.21480498,0.42987752,0
1232000,1232000,197388,-0.000120034674,-0.22604944,0.4357662,0
1364000,1302909,197388,0.0024862117,-0.215638,0.42850918,0
1376000,1376000,197388,0.0026214262,-0.21454524,0.4255145,0
1504000,1447272,197388,0.0026916354,-0.21480615,0.42847583,0
1520000,1520000,197388,0.0040469435,-0.21093675,0.42393795,0
1652000,1591636,197388,0.0034927337,-0.21488592,0.42768764,0
1664000,1664000,197388,0.0089290105,-0.21481252,0.43683264,0
1796000,1735272,197388,0.0018106262,-0.21495268,0.43006206,0
1808000,1808000,197388,-0.0023136507,-0.21874829,0.42927778,0
1936000,1879272,197388,0.0039563226,-0.21541178,0.4292108,0
1952000,1952000,197388,0.0033872032,-0.21815851,0.42567447,0
2084000,2024000,197388,0.004834704,-0.21598934,0.42849144,0
2096000,2096000,197388,-0.003099761,-0.2169392,0.430421,0
2228000,2167636,197388,0.0020226177,-0.21517532,0.4310853,0
2240000,2240000,197388,0.0059407814,-0.21116821,0.42865813,0
2372000,2311636,197388,0.0039336793,-0.2154498,0.43192917,0
2384000,2384000,197388,0.008253217,-0.215922,0.43409088,0
2516000,2455636,197388,-2.1175736e-06,-0.21503323,0.42950797,0
2528000,2528000,197388,-0.00021249364,-0.2179498,0.42843106,0
2660000,2600000,197388,0.0028930425,-0.21262863,0.43001002,0
2672000,2672000,197388,0.004219947,-0.213099,0.43127894,0
2804000,2744000,197388,0.0018465033,-0.21580341,0.4300533,0
2812000,2812000,197388,0.0021187053,-0.21894261,0.42705694,0
2936000,2881200,197388,0.004254023,-0.21603265,0.42979583,0
2948000,2948000,197388,0.00028561064,-0.21055362,0.43031868,0
3080000,3019272,197388,0.0028809411,-0.21571037,0.42843747,0
3092000,3092000,197388,0.0014687038,-0.21133225,0.43345413,0
3224000,3163636,197388,0.001052234,-0.21465023,0.42897555,0
3236000,3236000,197388,-8.698995e-05,-0.21199399,0.4238698,0
3368000,3307636,197388,0.0032699115,-0.21690354,0.4291002,0
3380000,3380000,197388,0.005428337,-0.21504222,0.42859906,0
3512000,3451272,197388,0.002115269,-0.21461295,0.42914185,0
3524000,3524000,197388,0.0047830646,-0.2133762,0.4233825,0
3656000,3595272,197388,0.0033744653,-0.21583118,0.4294053,0
3668000,3668000,197388,0.004646122,-0.21653093,0.431154,0
3800000,3740000,197388,0.0026619541,-0.21679792,0.4299756,0
3812000,3812000,197388,0.0052306377,-0.21336028,0.4302969,0
3944000,3883272,197388,0.0054401546,-0.2152071,0.42986822,0
3956000,3956000,197388,0.009552052,-0.21619396,0.43072098,0
4088000,4027636,197388,0.004555491,-0.21541446,0.42897668,0
4100000,4100000,197388,0.0009108728,-0.21841824,0.4320149,0
4232000,4172000,197388,0.0028372833,-0.21687563,0.42877108,0
4244000,4244000,197388,0.0028122452,-0.21625446,0.43183777,0
4372000,4314545,197388,0.003728698,-0.21512383,0.42945287,0
4388000,4388000,197388,0.001159714,-0.21175662,0.4310537,0
4520000,4459636,197388,0.0027240596,-0.21646895,0.42712715,0
4532000,4532000,197388,0.0034135222,-0.21779744,0.4294494,0
4664000,4602909,197388,0.00493823,-0.21549863,0.43132728,0
4676000,4676000,197388,0.0027452984,-0.2181023,0.43371806,0
4808000,4747636,197388,0.0024948858,-0.21516226,0.43030137,0
4820000,4820000,197388,0.0026448308,-0.21077183,0.42513877,0
4952000,4890909,197388,0.0013030734,-0.21627687,0.42725056,0
4960000,4960000,197388,0.0007654992,-0.2181974,0.43067777,0
5080000,5029200,197388,0.004600245,-0.21671811,0.42996112,0
5096000,5096000,197388,0.0017674156,-0.21405974,0.42973775,0
5228000,5166909,197388,0.0037577522,-0.21581933,0.42863983,0
5240000,5240000,197388,0.00789093,-0.21084067,0.43142012,0
5372000,5311272,197388,0.004459634,-0.2151214,0.42958897,0
5384000,5384000,197388,0.004244139,-0.21526967,0.43054727,0
5512000,5454909,197388,0.004115277,-0.21496964,0.43081793,0
5528000,5528000,197388,-0.0073014367,-0.20862846,0.42396584,0
5660000,5600000,197388,0.0016376385,-0.21555966,0.43070102,0
5672000,5672000,197388,-0.00052095234,-0.22199102,0.4329691,0
5804000,5743272,197388,0.0037144122,-0.21486638,0.42826456,0
5812000,5812000,197388,0.00084954913,-0.21586831,0.43354073,0
5936000,5882000,197388,0.0026843508,-0.21610022,0.42755085,0
5960000,5954000,197388,0.0034742537,-0.2146621,0.4273614,0
6080000,6026000,197388,0.0027529579,-0.21443832,0.42950526,0
6104000,6098000,197388,0.004609284,-0.21520182,0.43231267,0
6224000,6169200,197388,0.0034555183,-0.21291657,0.42982394,0
6236000,6236000,197388,0.0028158007,-0.21347941,0.4311104,0
6368000,6307636,197388,0.0016163002,-0.21593127,0.4277663,0
6380000,6380000,197388,0.010907434,-0.21065815,0.42718187,0
6512000,6451636,197388,0.0033469498,-0.21594128,0.4303045,0
6524000,6524000,197388,0.004490207,-0.21427199,0.42842954,0
6656000,6596000,197388,0.002719747,-0.2170367,0.4275953,0
