timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
356000,0,1.4259563e-05,-0.00022803112,1.1966279e-07,0.0,0.0,0.0
360000,0,5.931639e-05,7.350369e-05,-3.1162227e-08,0.0,0.0,0.0
368000,0,5.5685836e-05,5.165842e-05,-1.6197555e-08,0.0,0.0,0.0
376000,0,5.5531345e-05,5.1273193e-05,-1.5704801e-08,0.0,0.0,0.0
388000,0,5.55218e-05,5.1276977e-05,-1.5683852e-08,0.0,0.0,0.0
396000,0,5.5519162e-05,5.127211e-05,-1.5677582e-08,0.0,0.0,0.0
408000,0,5.551691e-05,5.1268184e-05,-1.5670851e-08,0.0,0.0,0.0
416000,0,5.5516066e-05,5.1266696e-05,-1.5667373e-08,0.0,0.0,0.0
428000,0,5.5515346e-05,5.126539e-05,-1.5662993e-08,0.0,0.0,0.0
436000,0,5.551508e-05,5.1264888e-05,-1.5660401e-08,0.0,0.0,0.0
448000,0,5.5514854e-05,5.1264433e-05,-1.565679e-08,0.0,0.0,0.0
456000,0,5.5514778e-05,5.126425e-05,-1.565449e-08,0.0,0.0,0.0
468000,0,5.5514716e-05,5.1264073e-05,-1.5651128e-08,0.0,0.0,0.0
476000,0,5.5514698e-05,5.1263996e-05,-1.5648924e-08,0.0,0.0,0.0
488000,0,5.551469e-05,5.126391e-05,-1.5645647e-08,0.0,0.0,0.0
496000,0,5.5514694e-05,5.1263865e-05,-1.5643472e-08,0.0,0.0,0.0
508000,0,5.5514705e-05,5.1263807e-05,-1.5640222e-08,0.0,0.0,0.0
516000,0,5.5514713e-05,5.1263774e-05,-1.563806e-08,0.0,0.0,0.0
528000,0,5.5514727e-05,5.1263727e-05,-1.5634818e-08,0.0,0.0,0.0
536000,0,5.5514738e-05,5.1263698e-05,-1.5632658e-08,0.0,0.0,0.0
548000,0,5.5514756e-05,5.1263654e-05,-1.562942e-08,0.0,0.0,0.0
556000,0,5.5514767e-05,5.126363e-05,-1.562726e-08,0.0,0.0,0.0
568000,0,5.5514785e-05,5.1263585e-05,-1.5624023e-08,0.0,0.0,0.0
576000,0,5.55148e-05,5.1263556e-05,-1.5621865e-08,0.0,0.0,0.0
588000,0,5.5514818e-05,5.1263516e-05,-1.5618626e-08,0.0,0.0,0.0
596000,0,5.551483e-05,5.1263487e-05,-1.5616468e-08,0.0,0.0,0.0
608000,0,5.5514847e-05,5.1263443e-05,-1.5613232e-08,0.0,0.0,0.0
616000,0,5.5514858e-05,5.1263418e-05,-1.5611073e-08,0.0,0.0,0.0
628000,0,5.5514876e-05,5.1263374e-05,-1.5607835e-08,0.0,0.0,0.0
636000,0,5.551489e-05,5.1263345e-05,-1.5605677e-08,0.0,0.0,0.0
648000,0,5.551491e-05,5.1263305e-05,-1.560244e-08,0.0,0.0,0.0
656000,0,5.551492e-05,5.1263276e-05,-1.5600282e-08,0.0,0.0,0.0
668000,0,5.5514938e-05,5.1263236e-05,-1.560372e-08,0.0,0.0,0.0
676000,0,5.551491e-05,5.126319e-05,-1.5625586e-08,0.0,0.0,0.0
688000,0,5.5514956e-05,5.1263185e-05,-1.5669787e-08,0.0,0.0,0.0
696000,0,5.551499e-05,5.126319e-05,-1.5702726e-08,0.0,0.0,0.0
708000,0,5.551504e-05,5.1263192e-05,-1.5754253e-08,0.0,0.0,0.0
716000,0,5.551507e-05,5.1263192e-05,-1.5789247e-08,0.0,0.0,0.0
728000,0,5.5515113e-05,5.1263196e-05,-1.5842133e-08,0.0,0.0,0.0
736000,0,5.551514e-05,5.1263196e-05,-1.5877509e-08,0.0,0.0,0.0
748000,0,5.551518e-05,5.1263192e-05,-1.5930647e-08,0.0,0.0,0.0
756000,0,5.5515204e-05,5.1263192e-05,-1.5966094e-08,0.0,0.0,0.0
768000,0,5.5515244e-05,5.1263192e-05,-1.6019278e-08,0.0,0.0,0.0
776000,0,5.551527e-05,5.126319e-05,-1.605474e-08,0.0,0.0,0.0
788000,0,5.5515306e-05,5.126319e-05,-1.6107933e-08,0.0,0.0,0.0
796000,0,5.551533e-05,5.1263185e-05,-1.6143394e-08,0.0,0.0,0.0
