timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
1124000,1124000,197388,0.005033388,-0.21635237,0.43421185,11.827326,0
2120000,2120000,197388,0.008389493,-0.22057542,0.43293345,11.827326,0
3116000,3116000,197388,0.0008157312,-0.21467128,0.431993,11.827326,0
4124000,4124000,197388,-0.0006596231,-0.21566613,0.43181053,11.827326,0
5120000,5120000,197388,0.0025681225,-0.2146934,0.4301756,11.827326,0
6128000,6128000,197388,0.0034664215,-0.2109196,0.43248272,11.827326,0
7120000,7120000,197388,0.0069754915,-0.21668753,0.4298654,11.827326,0
8120000,8120000,197388,-1.0523302e-05,-0.21658464,0.42787164,11.827326,0
9116000,9116000,197388,0.0045700073,-0.21686971,0.43020347,11.827326,0
10120000,10120000,197388,0.006593095,-0.2070054,0.42789698,11.827326,0
11120000,11120000,197388,0.00027683013,-0.21777578,0.43965495,11.827326,0
12112000,12112000,197388,-0.00051428436,-0.21156575,0.42731315,11.827326,0
13124000,13124000,197388,-0.0041802586,-0.21860074,0.4291946,11.827326,0
14120000,14120000,197388,0.0005965818,-0.21585181,0.432464,11.827326,0
15116000,15116000,197388,-0.00036086343,-0.2182048,0.43072277,11.827326,0
16124000,16124000,197388,0.0032018386,-0.21743377,0.43012464,11.827326,0
17120000,17120000,197388,0.003983166,-0.21945444,0.42862946,11.827326,0
18112000,18112000,197388,0.0017311523,-0.21200252,0.42637604,11.827326,0
19124000,19124000,197388,0.004330223,-0.2170892,0.43256906,11.827326,0
20120000,20120000,197388,0.0021003736,-0.21767756,0.43193495,11.827326,0
21116000,21116000,197388,0.0054110154,-0.21707647,0.43469787,11.827326,0
22124000,22124000,197388,0.00010635923,-0.21624768,0.4278161,11.827326,0
23120000,23120000,197388,0.0010277338,-0.21704274,0.42733192,11.827326,0
24116000,24116000,197388,-0.008499471,-0.20983505,0.42628425,11.827326,0
25124000,25124000,197388,-0.003082083,-0.2116113,0.43050823,11.827326,0
26120000,26120000,197388,-0.0029591648,-0.21817821,0.43238366,11.827326,0
27116000,27116000,197388,-0.00075023924,-0.2167996,0.43085524,11.827326,0
28124000,28124000,197388,0.007326299,-0.2181239,0.42834625,11.827326,0
29120000,29120000,197388,-0.0004828176,-0.21697411,0.43098345,11.827326,0
30116000,30116000,197388,0.006154808,-0.21323329,0.42865318,11.827326,0
31124000,31124000,197388,-0.0012251389,-0.21192883,0.42470476,11.827326,0
32120000,32120000,197388,0.0028029305,-0.21252774,0.42756167,11.827326,0
33116000,33116000,197388,0.0063103004,-0.22354749,0.42833784,11.827326,0
34124000,34124000,197388,0.0007492621,-0.21593031,0.42742875,11.827326,0
35120000,35120000,197388,0.0025105781,-0.2185245,0.43537572,11.827326,0
36116000,36116000,197388,0.0011135824,-0.21483414,0.43787003,11.827326,0
37124000,37124000,197388,0.0016040304,-0.22204266,0.42988068,11.827326,0
