timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4],yaw_composite_valid
40784000,40704000,-2.6779451,3.5801811,-2.5132947,-1.2566576,-2.0413772e-05,1.2566167,2.513254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0
40792000,40712000,3.0584514,3.850324,-2.5133052,-1.2566681,-3.087894e-05,1.2566063,2.5132434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0
40800000,40720000,-3.041924,3.8324876,-2.5133266,-1.2566895,-5.2351956e-05,1.2565848,2.513222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0
40808000,40728000,-2.7468016,3.607584,-2.5133266,-1.2566897,-5.246142e-05,1.2565846,2.513222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0
40816000,40736000,-3.041924,3.8324878,-2.513328,-1.256691,-5.3789965e-05,1.2565833,2.5132205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0
40824000,40744000,3.1415927,3.9478095,-2.5133135,-1.2566764,-3.923229e-05,1.2565979,2.513235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0
40832000,40752000,3.0584514,3.8503177,-2.5132968,-1.2566596,-2.2503038e-05,1.2566147,2.5132518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0
40840000,40760000,-2.896614,3.700024,-2.5132766,-1.2566394,-2.1748442e-06,1.256635,2.5132723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0
40848000,40768000,2.6779451,3.5801966,-2.5132866,-1.2566494,-1.2223297e-05,1.2566249,2.513262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0
40856000,40776000,-2.9996955,3.7896488,-2.5133095,-1.2566723,-3.5170757e-05,1.256602,2.5132391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0
40864000,40784000,-2.896614,3.6999886,-2.5133245,-1.2566874,-5.0211347e-05,1.2565869,2.5132241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0
40872000,40792000,-3.0584514,3.8502429,-2.5133238,-1.2566866,-4.944815e-05,1.2565877,2.5132248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0
40880000,40800000,2.9996955,3.7897503,-2.5133414,-1.2567041,-6.69057e-05,1.2565702,2.5132074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0
40888000,40808000,2.8501358,3.6666007,-2.5133417,-1.2567044,-6.728798e-05,1.2565699,2.513207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0
40896000,40816000,2.4227626,3.5612602,-2.5133407,-1.2567035,-6.631665e-05,1.2565708,2.513208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0
40904000,40824000,2.976444,3.7676704,-2.5133429,-1.2567055,-6.84148e-05,1.2565687,2.513206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0
40912000,40832000,3.0791738,3.8733923,-2.513335,-1.2566977,-6.0525545e-05,1.2565767,2.5132139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0
40920000,40840000,2.9562447,3.7493424,-2.5133166,-1.2566794,-4.2231073e-05,1.2565949,2.5132322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0
40928000,40848000,-3.0791738,3.873298,-2.5132985,-1.2566613,-2.4101508e-05,1.256613,2.5132504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0
40936000,40856000,2.9304993,3.7271948,-2.5133162,-1.2566788,-4.1636456e-05,1.2565955,2.5132327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0
40944000,40864000,3.0584514,3.8503656,-2.5133326,-1.2566954,-5.822864e-05,1.2565789,2.513216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0
40952000,40872000,2.3561945,3.577745,-2.5133183,-1.256681,-4.3864846e-05,1.2565932,2.5132303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0
40960000,40880000,2.896614,3.70006,-2.5133073,-1.2566701,-3.298158e-05,1.2566042,2.5132413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0
40968000,40888000,3.070285,3.8633797,-2.513304,-1.2566667,-2.9549958e-05,1.2566077,2.5132449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0
40976000,40896000,-3.041924,3.8325284,-2.5133018,-1.2566645,-2.738854e-05,1.2566097,2.513247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0
40984000,40904000,3.0309355,3.8210893,-2.5133028,-1.2566655,-2.8255496e-05,1.256609,2.513246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0
40992000,40912000,2.7985687,3.6344981,-2.5133052,-1.2566679,-3.0680985e-05,1.2566065,2.5132437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0
41000000,40920000,-2.9996955,3.7896583,-2.513311,-1.2566737,-3.650062e-05,1.2566006,2.513238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0
41008000,40928000,-2.787627,3.6216502,-2.5135543,-1.2575971,-0.00035070008,1.257343,2.514024,0.015361764,0.029394036,0.044263735,0.039421454,0.021559002,-0.004119102,-0.0151946815,-0.0052717095,0.011936603,0.012648952,0.2004557,0.20001872,0.19955626,0.19970678,0.20026262,0
