timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,open_drone_id_system_healthy,parachute_system_healthy
1000000,4000.0,0.14215371,0.0,0.0,19,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000,4000.0,0.13581939,0.0,0.0,65,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2512000,4000.0,0.13581939,3868.5261,0.0,90,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3768000,4000.0,0.13581939,2599.6016,0.0,145,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5024000,4000.0,0.13581939,2636.4543,0.0,207,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6284000,4000.0,0.13581939,2262.9482,0.0,261,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7284000,4000.0,0.13581939,3517.9285,0.0,325,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7540000,4000.0,0.13581939,3517.9285,0.0,340,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8796000,4000.0,0.13581939,3938.247,0.0,440,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10052000,4000.0,0.13581939,4250.0,0.0,536,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11308000,4000.0,0.13581939,3511.9524,0.0,615,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12308000,4000.0,0.13581939,3491.036,0.0,691,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12564000,4000.0,0.13581939,3491.036,0.0,708,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
