timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
356000,0,0.6957114,0.00045775351,0.0005798102,0.7183274,0.0,0.0,0.0,0.0,0
360000,0,0.6957114,0.00045773044,0.00057999766,0.7183274,0.0,0.0,0.0,0.0,0
368000,0,0.6957114,0.000457744,0.00058029074,0.7183274,0.0,0.0,0.0,0.0,0
376000,0,0.6957114,0.0004577512,0.00058059295,0.7183274,0.0,0.0,0.0,0.0,0
388000,0,0.6957114,0.00045776193,0.00058104633,0.7183274,0.0,0.0,0.0,0.0,0
396000,0,0.6957114,0.0004577691,0.0005813485,0.7183274,0.0,0.0,0.0,0.0,0
408000,0,0.6957114,0.00045777988,0.0005818018,0.7183274,0.0,0.0,0.0,0.0,0
416000,0,0.6957114,0.00045778707,0.00058210397,0.7183274,0.0,0.0,0.0,0.0,0
428000,0,0.6957114,0.00045779787,0.00058255723,0.7183274,0.0,0.0,0.0,0.0,0
436000,0,0.6957114,0.00045780506,0.00058285944,0.7183274,0.0,0.0,0.0,0.0,0
448000,0,0.6957114,0.00045781583,0.0005833127,0.7183274,0.0,0.0,0.0,0.0,0
456000,0,0.6957114,0.00045782301,0.00058361486,0.7183274,0.0,0.0,0.0,0.0,0
468000,0,0.6957114,0.0004578338,0.0005840681,0.7183274,0.0,0.0,0.0,0.0,0
476000,0,0.6957114,0.000457841,0.0005843703,0.7183274,0.0,0.0,0.0,0.0,0
488000,0,0.6957114,0.0004578518,0.00058482355,0.7183274,0.0,0.0,0.0,0.0,0
496000,0,0.6957114,0.000457859,0.0005851257,0.7183274,0.0,0.0,0.0,0.0,0
508000,0,0.6957114,0.00045786978,0.00058557896,0.7183274,0.0,0.0,0.0,0.0,0
516000,0,0.6957114,0.00045787697,0.0005858811,0.7183274,0.0,0.0,0.0,0.0,0
528000,0,0.6957114,0.00045788774,0.0005863344,0.7183274,0.0,0.0,0.0,0.0,0
536000,0,0.6957114,0.00045789493,0.00058663654,0.7183274,0.0,0.0,0.0,0.0,0
548000,0,0.6957114,0.00045790573,0.0005870898,0.7183274,0.0,0.0,0.0,0.0,0
556000,0,0.6957114,0.00045791292,0.000587392,0.7183274,0.0,0.0,0.0,0.0,0
568000,0,0.6957114,0.0004579237,0.0005878452,0.7183274,0.0,0.0,0.0,0.0,0
576000,0,0.6957114,0.0004579309,0.00058814744,0.7183274,0.0,0.0,0.0,0.0,0
588000,0,0.6957114,0.0004579417,0.00058860064,0.7183274,0.0,0.0,0.0,0.0,0
596000,0,0.6957114,0.0004579489,0.00058890285,0.7183274,0.0,0.0,0.0,0.0,0
608000,0,0.6957114,0.0004579597,0.0005893561,0.7183274,0.0,0.0,0.0,0.0,0
616000,0,0.6957114,0.00045796687,0.0005896583,0.7183274,0.0,0.0,0.0,0.0,0
