timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
1168000,1168000,1310988,-0.22026655,0.19393034,-9.916783,11.827326,0,0,0,0,1
2168000,2168000,1310988,-0.22984336,0.19393034,-9.921572,11.827326,0,0,0,0,1
3168000,3168000,1310988,-0.18435353,0.1436521,-9.938332,11.827326,0,0,0,0,1
4168000,4168000,1310988,-0.25139117,0.19632454,-9.957485,11.827326,0,0,0,0,1
5168000,5168000,1310988,-0.21787235,0.18674773,-9.92636,11.827326,0,0,0,0,1
6168000,6168000,1310988,-0.24660277,0.17717093,-9.91439,11.827326,0,0,0,0,1
7168000,7168000,1310988,-0.23223756,0.15083471,-9.935937,11.827326,0,0,0,0,1
8168000,8168000,1310988,-0.22984336,0.18674773,-9.933543,11.827326,0,0,0,0,1
9168000,9168000,1310988,-0.21308395,0.12689269,-9.931149,11.827326,0,0,0,0,1
10168000,10168000,1310988,-0.18674773,0.14844051,-9.952697,11.827326,0,0,0,0,1
11168000,11168000,1310988,-0.19153613,0.12689269,-9.916783,11.827326,0,0,0,0,1
12168000,12168000,1310988,-0.17956513,0.11971009,-9.91439,11.827326,0,0,0,0,1
13168000,13168000,1310988,-0.19632454,0.22026655,-9.916783,11.827326,0,0,0,0,1
14168000,14168000,1310988,-0.16759412,0.15083471,-9.947908,11.827326,0,0,0,0,1
15168000,15168000,1310988,-0.18435353,0.14844051,-9.911995,11.827326,0,0,0,0,1
16168000,16168000,1310988,-0.20829555,0.18195933,-9.94312,11.827326,0,0,0,0,1
17168000,17168000,1310988,-0.18435353,0.17717093,-9.938332,11.827326,0,0,0,0,1
18168000,18168000,1310988,-0.1604115,0.11492168,-9.94312,11.827326,0,0,0,0,1
19168000,19168000,1310988,-0.15083471,0.16519992,-9.902418,11.827326,0,0,0,0,1
20168000,20168000,1310988,-0.20590134,0.12449849,-9.91439,11.827326,0,0,0,0,1
21168000,21168000,1310988,-0.21308395,0.16519992,-9.935937,11.827326,0,0,0,0,1
22168000,22168000,1310988,-0.15801731,0.16998832,-9.921572,11.827326,0,0,0,0,1
23168000,23168000,1310988,-0.15562311,0.1364695,-9.923966,11.827326,0,0,0,0,1
24168000,24168000,1310988,-0.1340753,0.16759412,-9.900024,11.827326,0,0,0,0,1
25168000,25168000,1310988,-0.15083471,0.20590134,-9.950302,11.827326,0,0,0,0,1
26168000,26168000,1310988,-0.15322891,0.19393034,-9.931149,11.827326,0,0,0,0,1
27168000,27168000,1310988,-0.1316811,0.17956513,-9.909601,11.827326,0,0,0,0,1
28168000,28168000,1310988,-0.20350714,0.1604115,-9.919178,11.827326,0,0,0,0,1
29168000,29168000,1310988,-0.16519992,0.14844051,-9.888053,11.827326,0,0,0,0,1
30168000,30168000,1310988,-0.17717093,0.1604115,-9.873688,11.827326,0,0,0,0,1
31168000,31168000,1310988,-0.18674773,0.1604115,-9.892841,11.827326,0,0,0,0,1
32168000,32168000,1310988,-0.15562311,0.12928689,-9.880871,11.827326,0,0,0,0,1
33168000,33168000,1310988,-0.1604115,0.107739076,-9.902418,11.827326,0,0,0,0,1
34168000,34168000,1310988,-0.19153613,0.17717093,-9.866506,11.827326,0,0,0,0,1
35168000,35168000,1310988,-0.18674773,0.16998832,-9.921572,11.827326,0,0,0,0,1
36168000,36168000,1310988,-0.18674773,0.1388637,-9.890448,11.827326,0,0,0,0,1
37168000,37168000,1310988,-0.17238252,0.15562311,-9.861717,11.827326,0,0,0,0,1
38168000,38168000,1310988,-0.20590134,0.15562311,-9.868899,11.827326,0,0,0,0,1
39168000,39168000,1310988,-0.17238252,0.1364695,-9.873688,11.827326,0,0,0,0,1
40168000,40168000,1310988,-0.20590134,0.16280572,-9.821015,11.827326,0,0,0,0,1
