timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode
256000,0,0,1,0,0,0,0
760000,0,0,1,0,0,0,0
1000000,0,0,1,0,0,0,0
1504000,0,0,1,0,0,0,0
2008000,0,0,1,0,0,0,0
2512000,0,0,1,0,0,0,0
2524000,0,0,1,0,0,0,0
3028000,0,0,1,0,0,0,0
3532000,0,0,1,0,0,0,0
4036000,0,0,1,0,0,0,0
4540000,0,0,1,0,0,0,0
5044000,0,0,1,0,0,0,0
5548000,0,0,1,0,0,0,0
6052000,0,0,1,0,0,0,0
6556000,0,0,1,0,0,0,0
7060000,0,0,1,0,0,0,0
7564000,0,0,1,0,0,0,0
7816000,0,0,1,0,0,0,0
8320000,0,0,1,0,0,0,0
8824000,0,0,1,0,0,0,0
9328000,0,0,1,0,0,0,0
9832000,0,0,1,0,0,0,0
10336000,0,0,1,0,0,0,0
10840000,0,0,1,0,0,0,0
11344000,0,0,1,0,0,0,0
11848000,0,0,1,0,0,0,0
12352000,0,0,1,0,0,0,0
12856000,0,0,1,0,0,0,0
13360000,0,0,1,0,0,0,0
13864000,0,0,1,0,0,0,0
14368000,0,0,1,0,0,0,0
14872000,0,0,1,0,0,0,0
15376000,0,0,1,0,0,0,0
15880000,0,0,1,0,0,0,0
16384000,0,0,1,0,0,0,0
16888000,0,0,1,0,0,0,0
17392000,0,0,1,0,0,0,0
17896000,0,0,1,0,0,0,0
18400000,0,0,1,0,0,0,0
18904000,0,0,1,0,0,0,0
19408000,0,0,1,0,0,0,0
19912000,0,0,1,0,0,0,0
20416000,0,0,1,0,0,0,0
20920000,0,0,1,0,0,0,0
21424000,0,0,1,0,0,0,0
21928000,0,0,1,0,0,0,0
22432000,0,0,1,0,0,0,0
22936000,0,0,1,0,0,0,0
23440000,0,0,1,0,0,0,0
23632000,0,0,1,0,0,0,0
24136000,0,0,1,0,0,0,0
24640000,0,0,1,0,0,0,0
25144000,0,0,1,0,0,0,0
25648000,0,0,1,0,0,0,0
26152000,0,0,1,0,0,0,0
26656000,0,0,1,0,0,0,0
27160000,0,0,1,0,0,0,0
27664000,0,0,1,0,0,0,0
28168000,0,0,1,0,0,0,0
28672000,0,0,1,0,0,0,0
29176000,0,0,1,0,0,0,0
29680000,0,0,1,0,0,0,0
30184000,0,0,1,0,0,0,0
30688000,0,0,1,0,0,0,0
31192000,0,0,1,0,0,0,0
31696000,0,0,1,0,0,0,0
32200000,0,0,1,0,0,0,0
32704000,0,0,1,0,0,0,0
33208000,0,0,1,0,0,0,0
33436000,0,0,1,0,0,0,0
33448000,0,0,1,0,0,0,0
33952000,0,0,1,0,0,0,0
34456000,0,0,1,0,0,0,0
34960000,0,0,1,0,0,0,0
35464000,0,0,1,0,0,0,0
35968000,0,0,1,0,0,0,0
36472000,0,0,1,0,0,0,0
36976000,0,0,1,0,0,0,0
37480000,0,0,1,0,0,0,0
37984000,0,0,1,0,0,0,0
38488000,1,0,1,0,0,0,0
38992000,1,0,1,0,0,0,0
39496000,1,0,1,0,0,0,0
40000000,1,0,1,0,0,0,0
40504000,1,0,1,0,0,0,0
41008000,1,0,1,0,0,0,0
41512000,1,0,1,0,0,0,0
42016000,1,0,1,0,0,0,0
42520000,1,0,1,0,0,0,0
43024000,1,0,1,0,0,0,0
43528000,1,0,1,0,0,0,0
44032000,1,0,1,0,0,0,0
44536000,1,0,1,0,0,0,0
45040000,1,0,1,0,0,0,0
45544000,1,0,1,0,0,0,0
46048000,1,0,1,0,0,0,0
46552000,1,0,1,0,0,0,0
47056000,1,0,1,0,0,0,0
47560000,1,0,1,0,0,0,0
48064000,1,0,1,0,0,0,0
48568000,1,0,1,0,0,0,0
49072000,1,0,1,0,0,0,0
49576000,1,0,1,0,0,0,0
50080000,1,0,1,0,0,0,0
50584000,1,0,1,0,0,0,0
51088000,1,0,1,0,0,0,0
51592000,1,0,1,0,0,0,0
52096000,1,0,1,0,0,0,0
52600000,1,0,1,0,0,0,0
53104000,1,0,1,0,0,0,0
53608000,1,0,1,0,0,0,0
54112000,1,0,1,0,0,0,0
54616000,1,0,1,0,0,0,0
55120000,1,0,1,0,0,0,0
55624000,1,0,1,0,0,0,0
56128000,1,0,1,0,0,0,0
56632000,1,0,1,0,0,0,0
57136000,1,0,1,0,0,0,0
57640000,1,0,1,0,0,0,0
58144000,1,0,1,0,0,0,0
58648000,1,0,1,0,0,0,0
59152000,1,0,1,0,0,0,0
59656000,1,0,1,0,0,0,0
60160000,1,0,1,0,0,0,0
60664000,1,0,1,0,0,0,0
61168000,1,0,1,0,0,0,0
61672000,1,0,1,0,0,0,0
62176000,1,0,1,0,0,0,0
62680000,1,0,1,0,0,0,0
63184000,1,0,1,0,0,0,0
63688000,1,0,1,0,0,0,0
64192000,1,0,1,0,0,0,0
64696000,1,0,1,0,0,0,0
65200000,1,0,1,0,0,0,0
65704000,1,0,1,0,0,0,0
66208000,1,0,1,0,0,0,0
66712000,1,0,1,0,0,0,0
67216000,1,0,1,0,0,0,0
67720000,1,0,1,0,0,0,0
68224000,1,0,1,0,0,0,0
68728000,1,0,1,0,0,0,0
69232000,1,0,1,0,0,0,0
69736000,1,0,1,0,0,0,0
70240000,1,0,1,0,0,0,0
70744000,1,0,1,0,0,0,0
71248000,1,0,1,0,0,0,0
71752000,1,0,1,0,0,0,0
72256000,1,0,1,0,0,0,0
72760000,1,0,1,0,0,0,0
73264000,1,0,1,0,0,0,0
73768000,1,0,1,0,0,0,0
74272000,1,0,1,0,0,0,0
74776000,1,0,1,0,0,0,0
75280000,1,0,1,0,0,0,0
75784000,1,0,1,0,0,0,0
76288000,1,0,1,0,0,0,0
76792000,1,0,1,0,0,0,0
77296000,1,0,1,0,0,0,0
77800000,1,0,1,0,0,0,0
78304000,1,0,1,0,0,0,0
78808000,1,0,1,0,0,0,0
79312000,1,0,1,0,0,0,0
79816000,1,0,1,0,0,0,0
80320000,1,0,1,0,0,0,0
80824000,1,0,1,0,0,0,0
81328000,1,0,1,0,0,0,0
81832000,1,0,1,0,0,0,0
82336000,1,0,1,0,0,0,0
82840000,1,0,1,0,0,0,0
83344000,1,0,1,0,0,0,0
83848000,1,0,1,0,0,0,0
84352000,1,0,1,0,0,0,0
84856000,1,0,1,0,0,0,0
85360000,1,0,1,0,0,0,0
85864000,1,0,1,0,0,0,0
86368000,1,0,1,0,0,0,0
86872000,1,0,1,0,0,0,0
87376000,1,0,1,0,0,0,0
87880000,1,0,1,0,0,0,0
88384000,1,0,1,0,0,0,0
88888000,1,0,1,0,0,0,0
89392000,1,0,1,0,0,0,0
89896000,1,0,1,0,0,0,0
90400000,1,0,1,0,0,0,0
90904000,1,0,1,0,0,0,0
91408000,1,0,1,0,0,0,0
91912000,1,0,1,0,0,0,0
92416000,1,0,1,0,0,0,0
92920000,1,0,1,0,0,0,0
93424000,1,0,1,0,0,0,0
93928000,1,0,1,0,0,0,0
94432000,1,0,1,0,0,0,0
94936000,1,0,1,0,0,0,0
95440000,1,0,1,0,0,0,0
95944000,1,0,1,0,0,0,0
96448000,1,0,1,0,0,0,0
96952000,1,0,1,0,0,0,0
97456000,1,0,1,0,0,0,0
97960000,1,0,1,0,0,0,0
98464000,1,0,1,0,0,0,0
98968000,1,0,1,0,0,0,0
99220000,1,0,1,0,0,0,0
99232000,1,0,1,0,0,0,0
99736000,1,0,1,0,0,0,0
100240000,1,0,1,0,0,0,0
100744000,1,0,1,0,0,0,0
101248000,1,0,1,0,0,0,0
101752000,1,0,1,0,0,0,0
102256000,1,0,1,0,0,0,0
102760000,1,0,1,0,0,0,0
103264000,1,0,1,0,0,0,0
103768000,1,0,1,0,0,0,0
104272000,1,0,1,0,0,0,0
104776000,1,0,1,0,0,0,0
105280000,1,0,1,0,0,0,0
105784000,1,0,1,0,0,0,0
105880000,0,0,1,0,0,0,0
106384000,0,0,1,0,0,0,0
