timestamp,position[0],position[1],position[2],velocity[0],velocity[1],velocity[2],acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],yaw,yawspeed
9344000,0.014118104,-0.048639778,0.42983055,-1.1005988e-06,0.0,0.6988493,-4.5895576e-05,0.0,-0.09594494,0.0,0.0,-4.0,1.6634037,0.00074570725
9520000,0.0071472386,-0.045086294,0.4250073,-1.6258824e-05,-6.7277034e-07,0.69948846,-0.0010248423,-4.208088e-05,-0.06397126,0.0,0.0,-4.0,1.6628044,-0.0016088567
9720000,0.0034941575,-0.041711986,0.42293763,3.2232704e-06,9.656262e-06,0.6994882,0.00020182133,0.00060653687,-0.06398455,0.0,0.0,-4.0,1.6628224,-0.00034461656
9944000,0.00020944086,-0.041069996,0.42861247,0.0,-1.4778078e-06,0.6988493,0.0,-6.16312e-05,-0.09594378,0.0,0.0,-4.0,1.6623545,-0.0017266583
10120000,0.001507325,-0.037134215,0.4204282,1.020199e-05,1.4390855e-05,0.6994884,0.00064110756,0.000906229,-0.06397284,0.0,0.0,-4.0,1.6624192,-0.0005663445
10320000,0.00298125,-0.033863336,0.4205781,-3.6188285e-06,-9.606875e-07,0.69948816,-0.00022661686,-6.0081482e-05,-0.06398902,0.0,0.0,-4.0,1.661849,-0.0021672372
10520000,0.0045722323,-0.030621015,0.41896468,7.768946e-06,1.0688204e-05,0.6994883,0.000487566,0.00067174435,-0.06398035,0.0,0.0,-4.0,1.6616853,-0.0012595378
10720000,0.004490816,-0.029330837,0.41850346,-6.0970797e-06,-2.9095581e-06,0.6994882,-0.0003823042,-0.0001821518,-0.06398412,0.0,0.0,-4.0,1.6607769,-0.0033678575
10920000,0.0038419648,-0.025956795,0.41685283,3.306688e-06,1.259577e-05,0.6994883,0.00020706654,0.00079238415,-0.063980356,0.0,0.0,-4.0,1.6606447,-0.0014882064
11120000,0.0013984968,-0.023823855,0.41726056,-9.172082e-06,-3.44165e-06,0.6994883,-0.0005760193,-0.0002155304,-0.06398089,0.0,0.0,-4.0,1.6603528,-0.0015857094
11320000,0.0008958036,-0.020600874,0.40962788,5.296583e-06,1.0418415e-05,0.6994883,0.00033199787,0.0006546974,-0.06398066,0.0,0.0,-4.0,1.6602665,-0.0004725718
11520000,-4.8510824e-06,-0.018940538,0.40248007,-6.6295006e-06,-3.8427e-06,0.6994883,-0.000415802,-0.00024068356,-0.063983455,0.0,0.0,-4.0,1.6601433,-0.00071177696
11720000,0.00032784438,-0.016230201,0.3983706,6.149973e-06,1.0482843e-05,0.6994883,0.00038564205,0.00065875053,-0.06398226,0.0,0.0,-4.0,1.6600606,-0.00031710524
11920000,-0.0005884031,-0.015345907,0.39803866,-6.983468e-06,-4.3363516e-06,0.6994883,-0.00043809414,-0.00027167797,-0.06398131,0.0,0.0,-4.0,1.6600453,-0.0002936627
12120000,0.0016220657,-0.011963784,0.396175,1.2089512e-05,1.3935883e-05,0.6994884,0.00076043606,0.0008773804,-0.06397274,0.0,0.0,-4.0,1.659986,-0.00014563029
12344000,0.010279814,-0.0021614926,0.39047143,0.0,0.0,0.6988493,0.0,0.0,-0.09594412,0.0,0.0,-4.0,1.6598277,-0.00043211493
12544000,0.012507287,0.00022160045,0.38588136,-2.0299321e-06,-2.0527946e-06,0.69884855,-8.4638596e-05,-8.559227e-05,-0.095976435,0.0,0.0,-4.0,1.6601288,0.00063293707
12744000,0.013120562,0.001338843,0.37838265,0.0,0.0,0.69884807,0.0,0.0,-0.095996164,0.0,0.0,-4.0,1.6595755,-0.001579805
12920000,0.015112457,0.0044330466,0.3609985,3.2749067e-06,5.2234222e-06,0.69948816,0.00020503998,0.0003273487,-0.06399068,0.0,0.0,-4.0,1.6591178,-0.002082985
13144000,0.012831174,0.0030880985,0.3594398,0.0,0.0,0.69884914,0.0,0.0,-0.09595104,0.0,0.0,-4.0,1.6592512,-0.0003861186
13320000,0.010492201,0.0023471303,0.35002056,0.0,2.093884e-06,0.69948804,0.0,0.00013101101,-0.06399552,0.0,0.0,-4.0,1.6589961,-0.0010920471
13544000,0.005135818,-0.0006974984,0.35527042,0.0,0.0,0.6988495,0.0,0.0,-0.09593702,0.0,0.0,-4.0,1.6591192,0.0003760134
13720000,0.002318075,-0.00044899178,0.35010085,-2.4792e-08,6.49961e-06,0.6994881,-1.5497208e-06,0.00040757656,-0.06399166,0.0,0.0,-4.0,1.659401,0.00087528076
13920000,-0.001721401,-0.0011923322,0.35297772,-1.05934205e-05,-5.91071e-06,0.69948834,-0.0006657839,-0.00037062168,-0.063977696,0.0,0.0,-4.0,1.659347,0.00013848394
14144000,-0.003521651,-0.003716298,0.35625982,0.0,-1.80149e-06,0.6988483,0.0,-7.510185e-05,-0.09598672,0.0,0.0,-4.0,1.6594504,0.00043270734
14344000,-4.5557157e-05,-0.0021418196,0.34859785,0.0,0.0,0.6988484,0.0,0.0,-0.0959823,0.0,0.0,-4.0,1.6593436,-0.00025633443
14544000,-0.00095377513,-0.0036525403,0.3467084,0.0,0.0,0.69884896,0.0,0.0,-0.095959514,0.0,0.0,-4.0,1.6590616,-0.00086013717
14720000,-0.00012196154,-0.004728874,0.33920857,5.5365686e-06,7.854312e-07,0.6994881,0.00034701824,4.9114227e-05,-0.06399227,0.0,0.0,-4.0,1.6592312,0.00026690227
