timestamp,timestamp_sample,time_last_fuse,device_id,observation,observation_variance,innovation,innovation_variance,test_ratio,estimator_instance,fusion_enabled,innovation_rejected,fused
22408000,22290000,22328000,0,0.216156,1.0,0.09535596,1.1055791,0.0003289772,0,1,0,1
22808000,22690000,22728000,0,0.2121582,1.0,0.10533717,1.106964,0.00040094962,0,1,0,1
23208000,23086000,23128000,0,0.22015381,1.0,0.0966419,1.1090565,0.00033685053,0,1,0,1
23408000,23290000,23328000,0,0.21716309,1.0,0.09060669,1.1020157,0.00029798385,0,1,0,1
23808000,23690000,23728000,0,0.21517944,1.0,0.09683439,1.1047376,0.0003395159,0,1,0,1
24208000,24090000,24128000,0,0.21517944,1.0,0.10439736,1.1063375,0.00039405,0,1,0,1
24608000,24486000,24528000,0,0.21817017,1.0,0.10252407,1.107669,0.00037957856,0,1,0,1
24808000,24690000,24728000,0,0.22418213,1.0,0.09473419,1.1017053,0.00032584273,0,1,0,1
25208000,25086000,25128000,0,0.22616577,1.0,0.0979816,1.1036836,0.00034794008,0,1,0,1
25408000,25290000,25328000,0,0.21716309,1.0,0.097367585,1.0984647,0.00034522533,0,1,0,1
25808000,25690000,25728000,0,0.216156,1.0,0.101210535,1.1009026,0.00037218817,0,1,0,1
26208000,26090000,26128000,0,0.22317505,1.0,0.09766281,1.1039028,0.00034561098,0,1,0,1
26608000,26486000,26528000,0,0.21417236,1.0,0.10760465,1.1057504,0.00041885622,0,1,0,1
26808000,26690000,26728000,0,0.21017456,1.0,0.10633609,1.1002004,0.00041110194,0,1,0,1
27208000,27086000,27128000,0,0.21716309,1.0,0.10010496,1.1025338,0.00036356266,0,1,0,1
27408000,27290000,27328000,0,0.22317505,1.0,0.089583814,1.0975714,0.00029247336,0,1,0,1
27808000,27690000,27728000,0,0.22817993,1.0,0.08732581,1.1002601,0.00027723616,0,1,0,1
28208000,28090000,28128000,0,0.20916748,1.0,0.11632553,1.1026089,0.0004908949,0,1,0,1
28608000,28490000,28528000,0,0.22116089,1.0,0.10838443,1.1046236,0.00042538237,0,1,0,1
29008000,28890000,28928000,0,0.21417236,1.0,0.12314808,1.1072375,0.0005478662,0,1,0,1
29408000,29290000,29328000,0,0.2081604,1.0,0.13234982,1.1086193,0.00063201046,0,1,0,1
29808000,29686000,29728000,0,0.216156,1.0,0.13105965,1.1096941,0.0006191483,0,1,0,1
30208000,30090000,30128000,0,0.21817017,1.0,0.13391909,1.1115006,0.00064540934,0,1,0,1
30608000,30490000,30528000,0,0.22616577,1.0,0.1260598,1.112092,0.0005715741,0,1,0,1
31008000,30890000,30928000,0,0.21017456,1.0,0.1457485,1.1125039,0.00076377706,0,1,0,1
31408000,31290000,31328000,0,0.216156,1.0,0.15158698,1.1137816,0.0008252467,0,1,0,1
31808000,31690000,31728000,0,0.21817017,1.0,0.15324488,1.1138833,0.0008433197,0,1,0,1
32208000,32090000,32128000,0,0.2121582,1.0,0.15660954,1.1138622,0.0008807749,0,1,0,1
32608000,32490000,32528000,0,0.21817017,1.0,0.16200513,1.1148086,0.00094171,0,1,0,1
33008000,32890000,32928000,0,0.22717285,1.0,0.1575664,1.1146317,0.0008909551,0,1,0,1
33408000,33290000,33328000,0,0.2291565,1.0,0.15350035,1.1144384,0.0008457123,0,1,0,1
33808000,33686000,33728000,0,0.23117065,1.0,0.15247688,1.1142331,0.000834626,0,1,0,1
34008000,33890000,33928000,0,0.22717285,1.0,0.14005587,1.1069151,0.00070884003,0,1,0,1
34408000,34290000,34328000,0,0.21017456,1.0,0.15797126,1.1078982,0.0009009824,0,1,0,1
34608000,34490000,34528000,0,0.216156,1.0,0.1412856,1.1018357,0.00072466774,0,1,0,1
35008000,34890000,34928000,0,0.22418213,1.0,0.13875705,1.1035992,0.0006978446,0,1,0,1
35408000,35290000,35328000,0,0.22116089,1.0,0.13996443,1.1060466,0.0007084708,0,1,0,1
35808000,35690000,35728000,0,0.21817017,1.0,0.13598648,1.1073935,0.0006679585,0,1,0,1
36208000,36090000,36128000,0,0.20617676,1.0,0.14321315,1.1085145,0.00074008974,0,1,0,1
36608000,36490000,36528000,0,0.216156,1.0,0.12817541,1.1103967,0.00059182214,0,1,0,1
36808000,36690000,36728000,0,0.22216797,1.0,0.10893205,1.103087,0.00043029035,0,1,0,1
37208000,37090000,37128000,0,0.22015381,1.0,0.113197565,1.1056771,0.0004635599,0,1,0,1
