timestamp,timestamp_sample,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,fix_type,jamming_state,spoofing_state,vel_ned_valid,satellites_used,selected_rtcm_instance,rtcm_crc_failed,rtcm_msg_used
26804000,0,1691481526788323,0,473977421,85455935,488110,488110,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.02,1.9181167,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
27804000,0,1691481527784323,0,473977421,85455934,488092,488092,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,-0.03,1.11352,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
29004000,0,1691481528988323,0,473977421,85455935,488106,488106,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,5.3862605,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
29800000,0,1691481529784323,0,473977421,85455934,488104,488104,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.0,2.911733,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
31004000,0,1691481530988323,0,473977421,85455935,488110,488110,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.0,2.9133036,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
31804000,0,1691481531788323,0,473977421,85455934,488102,488102,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.3473941,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
33004000,0,1691481532992323,0,473977421,85455935,488093,488093,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.04,5.8108993,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
34004000,0,1691481533992323,0,473977421,85455934,488093,488093,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,-0.03,3.5594244,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
35004000,0,1691481534992323,0,473977421,85455935,488096,488096,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,-0.01,0.04,5.5555573,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
35804000,0,1691481535792323,0,473977421,85455934,488102,488102,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.01,-0.03,0.5237733,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
