timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
9600000,-0.03094286,0.018383216,-0.0003557037,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
9800000,-0.031970628,0.018047063,-0.00028013898,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
10000000,-0.032039903,0.018257778,-0.00034603185,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
10200000,-0.031550452,0.017469494,-0.00025850796,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
10400000,-0.031071132,0.017715527,-0.00030029277,0.0,0.0,-8.1490725e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
10600000,-0.031861667,0.018529193,0.00012997506,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
10800000,-0.030808246,0.018678822,-0.0002749663,0.0,0.0,4.656613e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
11000000,-0.03145776,0.019103205,4.105806e-05,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
11200000,-0.031301137,0.017467372,6.298889e-05,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
11400000,-0.03176415,0.0205085,-0.000706455,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
11600000,-0.031642646,0.01827269,-0.00036117958,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
11800000,-0.031422164,0.018621784,7.7309945e-05,0.0,0.0,-4.656613e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
12000000,-0.030910376,0.01737522,-0.00034425684,0.0,0.0,4.656613e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
12200000,-0.030755855,0.019098498,0.00025210742,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
12400000,-0.03205277,0.020440472,-0.00040981328,0.0,0.0,-3.4924597e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
12600000,-0.030826222,0.019294396,-0.00014999171,0.0,0.0,4.656613e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
12800000,-0.029852463,0.018177098,-0.0005752403,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
12992000,-0.030738434,0.020455303,0.00024082573,0.0,0.0,0.0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
13200000,-0.031358626,0.019861646,-0.000494366,0.0,0.0,-2.3283064e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
13400000,-0.029174333,0.01860633,-0.0007205956,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
13600000,-0.030389557,0.019102061,-0.00027731864,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
13800000,-0.028954322,0.019988991,-9.5381045e-05,0.0,0.0,6.9849193e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
14000000,-0.02914843,0.020167783,-0.00063580426,0.0,0.0,-5.820766e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
14200000,-0.029609676,0.020998493,8.857143e-05,0.0,0.0,-2.3283064e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
14400000,-0.028193805,0.019963354,-8.225469e-05,0.0,0.0,-6.9849193e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
14600000,-0.028710995,0.020224143,-0.0003869624,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
14800000,-0.027091399,0.021879502,-5.4016768e-05,0.0,0.0,-2.3283064e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
15000000,-0.02846163,0.020999951,-0.0002319768,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
15200000,-0.028038412,0.020339178,0.00066226197,0.0,0.0,-4.656613e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
15392000,-0.026515173,0.021386502,-0.00036729933,0.0,0.0,5.820766e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
15600000,-0.02760582,0.020654758,-0.00033860284,0.0,0.0,5.820766e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
15792000,-0.02591114,0.021313075,-0.00030974305,0.0,0.0,5.820766e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
16000000,-0.025781896,0.021078352,0.00030010482,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
16200000,-0.025769558,0.021937752,-2.2277889e-05,0.0,0.0,-2.3283064e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
16400000,-0.026481686,0.021726305,0.00010518662,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
16600000,-0.025476798,0.02081882,-3.484011e-05,0.0,0.0,5.820766e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
16792000,-0.025257653,0.022603631,-0.00012471933,0.0,0.0,-2.3283064e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
17000000,-0.024923619,0.021219937,-0.00039155275,0.0,0.0,5.820766e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
17200000,-0.024565214,0.022603873,-0.0008542035,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
17392000,-0.024912795,0.022778422,-0.0005694549,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
17600000,-0.025431117,0.02133137,-7.6897326e-05,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
17800000,-0.024777163,0.020790728,-0.0010671311,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
18000000,-0.023543755,0.022816455,-0.0003781294,0.0,0.0,1.9790605e-09,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
18200000,-0.023919445,0.022341095,-0.0005224268,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
18400000,-0.024259595,0.022746984,0.00030767513,0.0,0.0,-3.4924597e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
