timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
1140000,1140000,1310988,0.0005326322,-0.007989483,-0.0010652645,11.827326,0,0,0,0,1
2140000,2140000,1310988,-0.002130529,-0.0063915867,-0.0015978967,11.827326,0,0,0,0,1
3140000,3140000,1310988,-0.0026631611,-0.0058589545,-0.0026631611,11.827326,0,0,0,0,1
4140000,4140000,1310988,0.0005326322,-0.0063915867,0.0015978967,11.827326,0,0,0,0,1
5140000,5140000,1310988,-0.0037284256,-0.0058589545,0.0005326322,11.827326,0,0,0,0,1
6140000,6140000,1310988,0.0010652645,-0.008522116,0.0015978967,11.827326,0,0,0,0,1
7140000,7140000,1310988,0.0015978967,-0.006924219,0.0005326322,11.827326,0,0,0,0,1
8140000,8140000,1310988,-0.0031957934,-0.004261058,0.0005326322,11.827326,0,0,0,0,1
9140000,9140000,1310988,-0.0010652645,-0.006924219,-0.0015978967,11.827326,0,0,0,0,1
10140000,10140000,1310988,-0.002130529,-0.004261058,-0.0015978967,11.827326,0,0,0,0,1
11140000,11140000,1310988,0.002130529,-0.004261058,-0.0026631611,11.827326,0,0,0,0,1
12140000,12140000,1310988,-0.0005326322,-0.0058589545,-0.002130529,11.827326,0,0,0,0,1
13140000,13140000,1310988,0.0,-0.00958738,0.0005326322,11.827326,0,0,0,0,1
14140000,14140000,1310988,-0.002130529,-0.0037284256,0.0015978967,11.827326,0,0,0,0,1
15140000,15140000,1310988,-0.0005326322,-0.00479369,-0.0015978967,11.827326,0,0,0,0,1
16140000,16140000,1310988,0.0037284256,-0.00479369,-0.0010652645,11.827326,0,0,0,0,1
17140000,17140000,1310988,-0.0026631611,-0.007456851,-0.0010652645,11.827326,0,0,0,0,1
18140000,18140000,1310988,-0.0037284256,-0.009054748,0.0015978967,11.827326,0,0,0,0,1
19140000,19140000,1310988,-0.0005326322,-0.0031957934,-0.004261058,11.827326,0,0,0,0,1
20140000,20140000,1310988,0.0026631611,-0.0053263223,-0.0026631611,11.827326,0,0,0,0,1
21140000,21140000,1310988,-0.0015978967,-0.008522116,-0.004261058,11.827326,0,0,0,0,1
22140000,22140000,1310988,-0.0010652645,-0.007456851,-0.0031957934,11.827326,0,0,0,0,1
23140000,23140000,1310988,-0.0005326322,-0.004261058,-0.0031957934,11.827326,0,0,0,0,1
24140000,24140000,1310988,0.0015978967,-0.00479369,0.0,11.827326,0,0,0,0,1
25140000,25140000,1310988,-0.002130529,-0.0058589545,0.0015978967,11.827326,0,0,0,0,1
26140000,26140000,1310988,-0.002130529,-0.00479369,0.0005326322,11.827326,0,0,0,0,1
27140000,27140000,1310988,-0.0010652645,-0.007456851,0.0015978967,11.827326,0,0,0,0,1
28140000,28140000,1310988,-0.0031957934,-0.004261058,0.0015978967,11.827326,0,0,0,0,1
29140000,29140000,1310988,-0.0031957934,-0.0058589545,-0.0031957934,11.827326,0,0,0,0,1
30140000,30140000,1310988,-0.0026631611,-0.0031957934,0.002130529,11.827326,0,0,0,0,1
31140000,31140000,1310988,-0.0005326322,-0.0037284256,0.0005326322,11.827326,0,0,0,0,1
32140000,32140000,1310988,-0.0010652645,-0.0058589545,-0.0031957934,11.827326,0,0,0,0,1
33140000,33140000,1310988,-0.0031957934,-0.006924219,0.0010652645,11.827326,0,0,0,0,1
34140000,34140000,1310988,-0.0026631611,-0.00479369,0.0010652645,11.827326,0,0,0,0,1
35140000,35140000,1310988,-0.0005326322,-0.009054748,0.0031957934,11.827326,0,0,0,0,1
36140000,36140000,1310988,-0.0005326322,-0.0063915867,-0.0010652645,11.827326,0,0,0,0,1
