timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
356000,356000,0.00013082498,-1.7246567,0.00017476847,-0.3171198,4.5772953,0.067677155
360000,360000,-0.000979547,-0.9757608,-0.00013822927,-0.30012846,83.09141,0.0049478607
368000,368000,-0.00031993835,0.09554282,-0.0020225884,-0.03288027,107.32777,-0.15090045
376000,376000,-0.0017290388,0.051318586,0.0004255051,-0.1482267,29.08881,0.16907452
388000,388000,-0.0024366912,-0.015430024,-0.00011792339,-0.045567468,2.6845515,-0.02279536
396000,396000,0.00066447316,-0.005356712,0.000447667,0.2664237,1.708641,0.06178503
408000,408000,-0.0002600766,-0.0048097,-0.0011296222,-0.042013235,0.26956537,-0.13107775
416000,416000,-0.0017480623,-0.003879953,0.0003907549,-0.14597997,0.1881184,0.0932937
424000,424000,-0.0021156026,-0.0048626163,-0.00086689607,-0.0662943,-0.06666082,-0.07651718
436000,436000,0.0012542591,-0.007952012,0.0009636798,0.16244921,-0.11182419,0.077314064
448000,448000,-0.0005468656,-0.008605862,0.0024190173,-0.07358907,-0.07066719,0.13583514
456000,456000,0.00049450644,-0.008223437,0.0029375192,0.0701586,0.016466847,0.063291684
468000,468000,-0.0008370045,-0.007849659,0.00069441175,-0.09550806,-0.02740573,-0.14475176
476000,476000,-0.0017904674,-0.0073107164,-0.0008039337,-0.098320216,0.059600126,-0.16468433
488000,488000,0.00062154926,-0.005375127,0.000104432336,0.15548518,0.09566659,0.053433992
496000,496000,-0.0005593429,-0.0034624455,0.0003520553,-0.06257343,0.2134994,0.03341096
508000,508000,-0.00019154171,-0.0075285747,0.00081778964,0.04081258,-0.3248812,0.078883186
516000,516000,0.00017294906,-0.0074336445,0.001756105,0.035008993,-0.07775028,0.08244249
528000,528000,0.0011433345,-0.006400275,-0.00034834622,0.101635695,0.06253362,-0.07119496
536000,536000,-0.000688397,-0.0062826723,-0.0019127725,-0.12609561,0.05718955,-0.14422762
548000,548000,-0.0023074693,-0.0041353884,-0.0006686698,-0.1402653,0.046291992,0.030086905
556000,556000,-0.000473515,-0.0069559505,-0.0020257446,0.11758162,-0.19483879,-0.13310944
568000,568000,0.0017320393,-0.0065906495,-0.00163429,0.08247905,-0.004903156,0.079646304
576000,576000,-0.0012188673,-0.0055258335,-0.0011579305,-0.19910726,0.09012936,0.056401353
588000,588000,-0.0037899576,-0.0060970783,-0.0019767787,-0.18527266,-0.07558899,-0.021151861
596000,596000,-0.0014073799,-0.005918854,-0.0007526353,0.14083816,0.013158267,0.098197564
608000,608000,0.0013520623,-0.0070549217,-0.001008847,0.22044551,-0.13510166,0.0072137406
616000,616000,-0.00044167115,-0.00811339,-0.0015145118,-0.07304658,-0.11153799,-0.030100731
628000,628000,-0.003906384,-0.0042089196,-0.0013723312,-0.3283221,0.26929277,0.03490845
636000,636000,-0.002516671,-0.0035269526,0.001019555,0.049994625,0.12244396,0.17996256
648000,648000,-0.0005205913,-0.0054606595,-0.0034765727,0.14951883,-0.062093843,-0.26518273
656000,656000,6.4134147e-06,-0.0033286684,-0.00015157514,0.08978887,0.13148174,0.21332482
668000,668000,-0.0011275457,-0.009033434,-0.00038041614,-0.09332103,-0.30393636,0.006147864
676000,676000,-0.0018323502,-0.0071293935,0.001408433,-0.076378316,0.080468886,0.17157401
688000,688000,0.0011895952,-0.0071628303,0.00081199885,0.23845316,0.047179837,-0.14607473
696000,696000,0.00025897782,-0.0052874135,-0.0034521385,-0.03801345,0.12929128,-0.3725615
708000,708000,-0.0021006174,-0.0075029703,-0.00021318159,-0.13942403,-0.036916208,0.15166923
716000,716000,-0.0010155134,-0.005987459,0.0006612372,0.048681363,0.069694385,0.13423455
728000,728000,0.0013472113,-0.0052291807,0.002674725,0.262488,0.1754817,0.07889964
736000,736000,0.0016484148,-0.0016532643,-0.0001715791,0.06435609,0.32981414,-0.22329845
748000,748000,-0.00094877754,-0.0052980063,-0.00057120895,-0.18053697,-0.1867288,-0.037527226
756000,756000,-0.0011147098,-0.006795002,0.0002187358,-0.037780672,-0.19425118,0.062486183
768000,768000,-0.0029015392,-0.006950417,0.0026254687,-0.12246394,0.025137587,0.15038314
776000,776000,0.00024479028,-0.0032902649,0.0011165077,0.22980252,0.31044966,-0.061178137
788000,788000,-1.1320579e-05,-0.0041785934,0.0003274658,0.0040094424,-0.0715023,-0.14967053
796000,796000,-0.0004559826,-0.0054885456,-0.0017271712,-0.036733128,-0.14108202,-0.21571463
808000,808000,-0.00081997784,-0.0027462002,-0.000814611,-0.005876161,0.28092048,0.073809914
816000,816000,-0.001012966,-0.0043237996,-0.00011424944,-0.01917989,-0.07287201,0.072983876
828000,828000,0.0009289431,-0.0051635336,0.0009270432,0.1476027,-0.13446149,0.07916702
836000,836000,0.0047340584,-0.0072726286,-0.0010278266,0.37092057,-0.1849685,-0.14015691
848000,848000,0.00096625544,-0.0030709538,-0.00026071985,-0.22338358,0.23780711,0.04998024
