timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
49096000,49096000,0.7,9.105766e-06,-0.10654712,1.0018265,0.0012590657,1.0,1
49200000,49200000,0.7,8.90496e-06,-0.099816136,1.0017943,0.0011050461,1.0,1
49296000,49296000,0.7,8.727776e-06,-0.12109928,1.001751,0.0016266003,1.0,1
49392000,49392000,0.7,8.558316e-06,-0.12638682,1.0017165,0.0017718064,1.0,1
49496000,49496000,0.7,8.382776e-06,-0.093925335,1.0016739,0.0009785807,1.0,1
49600000,49600000,0.7,8.215174e-06,-0.16429459,1.001641,0.0029942764,1.0,1
49696000,49696000,0.7,8.066208e-06,-0.1408199,1.0016174,0.0021998025,1.0,1
49800000,49800000,0.7,7.910568e-06,-0.13862784,1.0015918,0.0021319042,1.0,1
49896000,49896000,0.7,7.772694e-06,-0.08839171,1.0015553,0.0008667735,1.0,1
49992000,49992000,0.7,7.640367e-06,-0.15155874,1.0015287,0.0025483323,1.0,1
50096000,50096000,0.7,7.5020866e-06,-0.13102739,1.0015049,0.0019047087,1.0,1
50192000,50192000,0.7,7.37874e-06,-0.08441797,1.001485,0.0007906474,1.0,1
50296000,50296000,0.7,7.2502567e-06,-0.110367954,1.0014478,0.0013514973,1.0,1
50392000,50392000,0.7,7.136545e-06,-0.1575444,1.0014235,0.0027538843,1.0,1
50496000,50496000,0.7,7.017368e-06,-0.14589038,1.0014055,0.0023615703,1.0,1
50592000,50592000,0.7,6.9106864e-06,-0.122041576,1.0013896,0.0016526086,1.0,1
50696000,50696000,0.7,6.7991245e-06,-0.08108908,1.001359,0.0007296128,1.0,1
50792000,50792000,0.7,6.7000824e-06,-0.1462608,1.001338,0.0023737373,1.0,1
50896000,50896000,0.7,6.595983e-06,-0.14327197,1.0013236,0.002277747,1.0,1
51000000,51000000,0.7,6.494937e-06,-0.1372358,1.0013076,0.002089897,1.0,1
51096000,51096000,0.7,6.4047936e-06,-0.08970337,1.0012829,0.00089293165,1.0,1
51192000,51192000,0.7,6.317709e-06,-0.10622142,1.0012639,0.0012520832,1.0,1
51296000,51296000,0.7,6.2261547e-06,-0.10308662,1.0012498,0.0011792874,1.0,1
51392000,51392000,0.7,6.143894e-06,-0.118470624,1.0012376,0.0015575489,1.0,1
51496000,51496000,0.7,6.05768e-06,-0.08837485,1.0012108,0.00086674106,1.0,1
51592000,51592000,0.7,5.9809295e-06,-0.109639,1.0011941,0.0013340415,1.0,1
51696000,51696000,0.7,5.900116e-06,-0.12031214,1.0011811,0.0016064373,1.0,1
51792000,51792000,0.7,5.8274127e-06,-0.13380682,1.0011706,0.0019870368,1.0,1
51896000,51896000,0.7,5.751152e-06,-0.11625518,1.0011449,0.0014999791,1.0,1
52000000,52000000,0.7,5.6776407e-06,-0.14001095,1.0011288,0.0021756624,1.0,1
52096000,52096000,0.7,5.6118215e-06,-0.10808194,1.0011117,0.0012965257,1.0,1
52200000,52200000,0.7,5.5425226e-06,-0.16471866,1.0011005,0.0030113787,1.0,1
52296000,52296000,0.7,5.479974e-06,-0.11103979,1.0010936,0.0013684849,1.0,1
52392000,52392000,0.7,5.418683e-06,-0.10601254,1.0010877,0.0012473831,1.0,1
