timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
1368000,0.0,0.0,0.79943395,0.0,0.9211712,0.0,0.0,0.38915762,0.0,0.0,-0.001,0,0
1376000,0.0,0.0,0.799477,0.0,0.9211628,0.0,0.0,0.38917744,0.0,0.0,-0.001,0,0
1416000,0.0,0.0,0.83164006,0.0,0.9147854,0.0,0.0,0.4039402,0.0,0.0,-0.001,0,0
1464000,0.0,0.0,0.83160824,0.0,0.9147918,0.0,0.0,0.40392566,0.0,0.0,-0.001,0,0
1512000,0.0,0.0,0.8315803,0.0,0.9147975,0.0,0.0,0.40391284,0.0,0.0,-0.001,0,0
1568000,0.0,0.0,0.83158886,0.0,0.91479576,0.0,0.0,0.40391678,0.0,0.0,-0.001,0,0
1616000,0.0,0.0,0.89932597,0.0,0.90059364,0.0,0.0,0.43466204,0.0,0.0,-0.001,0,0
1664000,0.0,0.0,0.8995217,0.0,0.9005511,0.0,0.0,0.4347502,0.0,0.0,-0.001,0,0
1712000,0.0,0.0,0.89972156,0.0,0.9005076,0.0,0.0,0.43484014,0.0,0.0,-0.001,0,0
1760000,0.0,0.0,0.89991546,0.0,0.9004655,0.0,0.0,0.43492746,0.0,0.0,-0.001,0,0
1816000,0.0,0.0,1.0397375,0.0,0.8678844,0.0,0.0,0.4967662,0.0,0.0,-0.001,0,0
1864000,0.0,0.0,1.0398774,0.0,0.86784965,0.0,0.0,0.49682695,0.0,0.0,-0.001,0,0
1912000,0.0,0.0,1.0402107,0.0,0.86776686,0.0,0.0,0.49697158,0.0,0.0,-0.001,0,0
1960000,0.0,0.0,1.0656223,0.0,0.86138254,0.0,0.0,0.50795686,0.0,0.0,-0.001,0,0
2016000,0.0,0.0,1.0643859,0.0,0.8616964,0.0,0.0,0.50742424,0.0,0.0,-0.001,0,0
2064000,0.0,0.0,1.0603399,0.0,0.86272115,0.0,0.0,0.50567997,0.0,0.0,-0.001,0,0
2112000,0.0,0.0,1.3167514,0.0,0.7909871,0.0,0.0,0.6118329,0.0,0.0,-0.001,0,0
2160000,0.0,0.0,1.3178405,0.0,0.79065377,0.0,0.0,0.6122635,0.0,0.0,-0.001,0,0
2216000,0.0,0.0,1.3197948,0.0,0.79005516,0.0,0.0,0.6130358,0.0,0.0,-0.001,0,0
2264000,0.0,-0.0,1.6562902,0.0,0.6762434,0.0,0.0,0.73667824,0.0,0.0,-0.001,0,0
2312000,0.0,-0.0,1.6564757,0.0,0.67617506,0.0,0.0,0.736741,0.0,0.0,-0.001,0,0
2360000,0.0,-0.0,1.6567903,0.0,0.6760592,0.0,0.0,0.73684734,0.0,0.0,-0.001,0,0
2416000,0.0,-0.0,1.7038969,0.0,0.6585181,0.0,0.0,0.75256497,0.0,0.0,-0.001,0,0
2464000,0.0,-0.0,1.7028018,0.0,0.65893,0.0,0.0,0.75220424,0.0,0.0,-0.001,0,0
2512000,0.0,-0.0,1.702183,0.0,0.65916276,0.0,0.0,0.7520004,0.0,0.0,-0.001,0,0
2568000,0.0,-0.0,1.9744761,0.0,0.5509968,0.0,0.0,0.8345075,0.0,0.0,-0.001,0,0
2616000,0.0,-0.0,1.9753572,0.0,0.55062914,0.0,0.0,0.83475,0.0,0.0,-0.001,0,0
2664000,0.0,-0.0,1.9765059,0.0,0.5501496,0.0,0.0,0.83506614,0.0,0.0,-0.001,0,0
2712000,0.0,-0.0,2.1275043,0.0,0.4855954,0.0,0.0,0.87418365,0.0,0.0,-0.001,0,0
2768000,0.0,-0.0,2.1282725,0.0,0.48525956,0.0,0.0,0.87437016,0.0,0.0,-0.001,0,0
2816000,0.0,-0.0,2.1289542,0.0,0.4849616,0.0,0.0,0.87453544,0.0,0.0,-0.001,0,0
2864000,0.0,-0.0,2.166146,0.0,0.4686159,0.0,0.0,0.88340205,0.0,0.0,-0.001,0,0
2912000,0.0,-0.0,2.1670415,0.0,0.4682203,0.0,0.0,0.8836118,0.0,0.0,-0.001,0,0
2960000,0.0,-0.0,2.215853,0.0,0.4465178,0.0,0.0,0.89477473,0.0,0.0,-0.001,0,0
3016000,0.0,-0.0,2.2167795,0.0,0.44610327,0.0,0.0,0.8949815,0.0,0.0,-0.001,0,0
3064000,0.0,-0.0,2.2168198,0.0,0.44608524,0.0,0.0,0.8949905,0.0,0.0,-0.001,0,0
3112000,0.0,-0.0,2.216098,0.0,0.4464082,0.0,0.0,0.89482945,0.0,0.0,-0.001,0,0
3160000,0.0,-0.0,2.2155106,0.0,0.44667098,0.0,0.0,0.89469826,0.0,0.0,-0.001,0,0
3216000,0.0,-0.0,2.233729,0.0,0.43850264,0.0,0.0,0.89872986,0.0,0.0,-0.001,0,0
3264000,0.0,-0.0,2.23373,0.0,0.4385021,0.0,0.0,0.89873016,0.0,0.0,-0.001,0,0
3312000,0.0,-0.0,2.2312548,0.0,0.43961403,0.0,0.0,0.8981868,0.0,0.0,-0.001,0,0
3360000,0.0,-0.0,2.2287824,0.0,0.44072402,0.0,0.0,0.8976426,0.0,0.0,-0.001,0,0
3416000,0.0,-0.0,2.2268236,0.0,0.44160303,0.0,0.0,0.89721054,0.0,0.0,-0.001,0,0
3464000,0.0,-0.0,2.2250674,0.0,0.44239068,0.0,0.0,0.89682245,0.0,0.0,-0.001,0,0
3512000,0.0,-0.0,2.2187045,0.0,0.44524163,0.0,0.0,0.8954105,0.0,0.0,-0.001,0,0
3560000,0.0,-0.0,2.1678596,0.0,0.46785882,0.0,0.0,0.88380325,0.0,0.0,-0.001,0,0
3616000,0.0,-0.0,2.1701427,0.0,0.4668496,0.0,0.0,0.8843367,0.0,0.0,-0.001,0,0
3664000,0.0,-0.0,2.1727145,0.0,0.46571207,0.0,0.0,0.88493633,0.0,0.0,-0.001,0,0
3712000,0.0,-0.0,2.1258287,0.0,0.48632765,0.0,0.0,0.87377656,0.0,0.0,-0.001,0,0
3760000,0.0,-0.0,2.1243315,0.0,0.48698163,0.0,0.0,0.8734122,0.0,0.0,-0.001,0,0
