timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],terr_flow[0],terr_flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
352000,272000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,-0.035079196,0.20525771,-0.43415004,4.484918,-1.0995057,1.1809788,0.0,0.0,0.0,0.0,0.0,0.0
360000,280000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,-0.035079196,0.20525771,-0.43415004,5.175072,-0.89654374,1.3163328,0.0,0.0,0.0,0.0,0.0,0.0
368000,288000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,-0.035079196,0.20525771,-0.43415004,6.125229,-0.78797174,1.4024897,0.0,0.0,0.0,0.0,0.0,0.0
376000,296000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.008215181,0.21609657,-0.4286203,1.5213594,-3.4641047,-0.0158844,0.0,0.0,0.0,0.0,0.0,0.0
384000,304000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.008215181,0.21609657,-0.4286203,0.49162626,-2.7799072,-0.25499058,0.0,0.0,0.0,0.0,0.0,0.0
392000,312000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.008215181,0.21609657,-0.4286203,0.28603983,4.9006896,-1.2297096,0.0,0.0,0.0,0.0,0.0,0.0
400000,320000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.008215181,0.21609657,-0.4286203,0.28278017,5.6742086,-1.8102493,0.0,0.0,0.0,0.0,0.0,0.0
408000,328000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.008215181,0.21609657,-0.4286203,-0.24648762,0.4450498,-0.16036415,0.0,0.0,0.0,0.0,0.0,0.0
416000,336000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.008215181,0.21609657,-0.4286203,0.36009932,0.3645737,0.21452332,0.0,0.0,0.0,0.0,0.0,0.0
424000,344000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.008215181,0.21609657,-0.4286203,0.74372816,0.5779374,0.4002123,0.0,0.0,0.0,0.0,0.0,0.0
432000,352000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.008215181,0.21609657,-0.4286203,1.2796206,0.64868873,0.61575985,0.0,0.0,0.0,0.0,0.0,0.0
440000,360000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.008215181,0.21609657,-0.4286203,7.5207443,0.2723375,0.9096041,0.0,0.0,0.0,0.0,0.0,0.0
448000,368000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.060663614,0.014925793,0.003723085,6.8998194,0.29284003,1.0639038,0.0,0.0,0.0,0.0,0.0,0.0
456000,376000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.060663614,0.014925793,0.003723085,5.2295237,0.36626595,1.2736778,0.0,0.0,0.0,0.0,0.0,0.0
464000,384000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.060663614,0.014925793,0.003723085,5.208331,0.3246685,1.2746572,0.0,0.0,0.0,0.0,0.0,0.0
472000,392000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.060663614,0.014925793,0.003723085,5.209438,0.32622805,1.2743139,0.0,0.0,0.0,0.0,0.0,0.0
480000,400000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.060663614,0.014925793,0.003723085,5.1988416,0.3504504,1.274292,0.0,0.0,0.0,0.0,0.0,0.0
488000,408000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.060663614,0.014925793,0.003723085,5.2112746,0.37928522,1.2732563,0.0,0.0,0.0,0.0,0.0,0.0
496000,416000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.060663614,0.014925793,0.003723085,5.18886,0.35682952,1.2742128,0.0,0.0,0.0,0.0,0.0,0.0
504000,424000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.060663614,0.014925793,0.003723085,5.201929,0.35576332,1.2735577,0.0,0.0,0.0,0.0,0.0,0.0
512000,432000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.060663614,0.014925793,0.003723085,5.221102,0.37585256,1.2722282,0.0,0.0,0.0,0.0,0.0,0.0
520000,440000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0564633,0.014266536,0.0029397607,5.2074327,0.3386267,1.2728844,0.0,0.0,0.0,0.0,0.0,0.0
528000,448000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0564633,0.014266536,0.0029397607,5.1892734,0.34191823,1.2731562,0.0,0.0,0.0,0.0,0.0,0.0
536000,456000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0564633,0.014266536,0.0029397607,5.1666775,0.34348541,1.2735825,0.0,0.0,0.0,0.0,0.0,0.0
544000,464000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0564633,0.014266536,0.0029397607,5.1847925,0.35039645,1.2725897,0.0,0.0,0.0,0.0,0.0,0.0
552000,472000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0564633,0.014266536,0.0029397607,5.2022085,0.3445288,1.271678,0.0,0.0,0.0,0.0,0.0,0.0
560000,480000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0564633,0.014266536,0.0029397607,5.2208095,0.3554941,1.2706013,0.0,0.0,0.0,0.0,0.0,0.0
568000,488000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0564633,0.014266536,0.0029397607,5.180934,0.37251192,1.2716436,0.0,0.0,0.0,0.0,0.0,0.0
576000,496000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0564633,0.014266536,0.0029397607,5.183054,0.3484365,1.2717123,0.0,0.0,0.0,0.0,0.0,0.0
584000,504000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0564633,0.014266536,0.0029397607,5.2033167,0.3474652,1.270771,0.0,0.0,0.0,0.0,0.0,0.0
592000,512000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.024423866,0.006391883,0.010992855,5.185976,0.3378876,1.2711859,0.0,0.0,0.0,0.0,0.0,0.0
600000,520000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.024423866,0.006391883,0.010992855,5.17556,0.3230576,1.2713928,0.0,0.0,0.0,0.0,0.0,0.0
608000,528000,-0.97219193,-0.8835866,0.17458595,-0.054379173,-0.04818522,488.1162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.024423866,0.006391883,0.010992855,5.18782,0.33077148,1.2706261,0.0,0.0,0.0,0.0,0.0,0.0
616000,536000,-0.97219193,-0.8835866,0.17458595,-0.054379173,-0.04818522,488.1162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.024423866,0.006391883,0.010992855,5.1880627,0.3389204,1.270277,0.0,0.0,0.0,0.0,0.0,0.0
624000,544000,-0.97219193,-0.8835866,0.17458595,-0.054379173,-0.04818522,488.1162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.024423866,0.006391883,0.010992855,5.2107725,0.37640896,1.2688618,0.0,0.0,0.0,0.0,0.0,0.0
632000,552000,-0.97219193,-0.8835866,0.17458595,-0.054379173,-0.04818522,488.1162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.024423866,0.006391883,0.010992855,5.188178,0.36759764,1.2695732,0.0,0.0,0.0,0.0,0.0,0.0
640000,560000,-0.97219193,-0.8835866,0.17458595,-0.054379173,-0.04818522,488.1162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.024423866,0.006391883,0.010992855,5.181435,0.34547687,1.269804,0.0,0.0,0.0,0.0,0.0,0.0
