timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
6836000,6836000,0.6719157,0.017261323,-0.00065078604,0.7404262,0.998876,5.820766e-10,9.313226e-10,-0.04740134,1
6840000,6840000,0.67185116,0.017236214,-0.0006331971,0.7404854,0.998876,5.820766e-10,9.313226e-10,-0.04740134,1
6848000,6848000,0.67177135,0.017204193,-0.0005963926,0.7405585,0.998876,5.820766e-10,9.313226e-10,-0.04740134,1
6856000,6856000,0.6717233,0.017172301,-0.0005507092,0.74060285,0.998876,5.820766e-10,9.313226e-10,-0.04740134,1
6860000,6860000,0.67171407,0.017159313,-0.00052827253,0.7406116,0.998876,5.820766e-10,9.313226e-10,-0.04740134,1
6864000,6864000,0.6717052,0.01714794,-0.0005080101,0.7406199,0.998876,5.820766e-10,9.313226e-10,-0.04740134,1
6868000,6868000,0.6717089,0.017137442,-0.00048779673,0.7406168,0.998876,5.820766e-10,9.313226e-10,-0.04740134,1
6872000,6872000,0.67171025,0.017123468,-0.00046592273,0.74061596,0.998876,5.820766e-10,9.313226e-10,-0.04740134,1
6876000,6876000,0.67172503,0.017114058,-0.00044200465,0.7406028,0.998876,5.820766e-10,9.313226e-10,-0.04740134,1
6880000,6880000,0.67174095,0.017108481,-0.00041938026,0.7405884,0.998876,5.820766e-10,9.313226e-10,-0.04740134,1
6888000,6888000,0.67179024,0.017107597,-0.00036422277,0.7405438,0.998876,5.820766e-10,9.313226e-10,-0.04740134,1
6892000,6892000,0.6717728,0.017108982,-0.00034081828,0.7405596,0.998876,5.820766e-10,9.313226e-10,-0.04740134,1
6896000,6896000,0.671757,0.0171107,-0.0003241476,0.7405739,0.998876,5.820766e-10,9.313226e-10,-0.04740134,1
6900000,6900000,0.67175084,0.017112076,-0.00030681142,0.7405795,0.998876,5.820766e-10,9.313226e-10,-0.04740134,1
6904000,6904000,0.67174506,0.017108398,-0.00028631923,0.7405848,0.998876,5.820766e-10,9.313226e-10,-0.04740134,1
6908000,6908000,0.6717421,0.017102154,-0.000263589,0.74058765,0.998876,5.820766e-10,9.313226e-10,-0.04740134,1
6916000,6916000,0.6717387,0.017098015,-0.00022821345,0.7405908,0.998876,5.820766e-10,9.313226e-10,-0.04740134,1
6920000,6920000,0.67174214,0.01710323,-0.00020967014,0.7405876,0.998876,5.820766e-10,9.313226e-10,-0.04740134,1
6928000,6928000,0.67175686,0.017124964,-0.00016887972,0.7405737,0.998876,5.820766e-10,9.313226e-10,-0.04740134,1
6936000,6936000,0.6717725,0.017142296,-0.00012801003,0.74055916,0.998876,5.820766e-10,9.313226e-10,-0.04740134,1
6940000,6940000,0.67178434,0.017147077,-0.00010001708,0.7405484,0.998876,5.820766e-10,9.313226e-10,-0.04740134,1
6944000,6944000,0.6717957,0.017153867,-7.457459e-05,0.7405378,0.998876,5.820766e-10,9.313226e-10,-0.04740134,1
6952000,6952000,0.6718102,0.01716303,-2.3163724e-05,0.74052453,0.998876,5.820766e-10,9.313226e-10,-0.04740134,1
6956000,6956000,0.6718168,0.017169518,4.3126514e-07,0.7405184,0.998876,5.820766e-10,9.313226e-10,-0.04740134,1
6964000,6964000,0.67184937,0.017183369,5.0866798e-05,0.7404885,0.998876,5.820766e-10,9.313226e-10,-0.04740134,1
6968000,6968000,0.6718719,0.017189695,7.568949e-05,0.74046797,0.998876,5.820766e-10,9.313226e-10,-0.04740134,1
