timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
520000,440000,13421772800,0.0020311007,0.046344757,0.005861546,0,14.231266,10.025253,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
528000,448000,13421772800,0.0041548917,0.047982972,0.00605359,0,14.238991,10.027446,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
536000,456000,13421772800,0.006485808,0.049513742,0.0071335,0,14.247022,10.029726,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
544000,464000,13421772800,0.008816687,0.055473555,0.07835459,0,0.7062323,7.082387,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
552000,472000,13421772800,0.01114928,0.05659332,0.07530944,0,0.7098101,7.0841503,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
560000,480000,13421772800,0.013488319,0.057585053,0.07246856,0,0.7195932,7.0860386,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
568000,488000,13421772800,0.015818644,0.058459144,0.0698209,0,0.73530656,7.08805,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
576000,496000,13421772800,0.018121148,0.05919542,0.067356125,0,0.75655454,7.090184,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
584000,504000,13421772800,0.020373074,0.05981223,0.065064326,0,0.78286165,7.092441,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
592000,512000,13421772800,0.022547347,0.060317464,0.06293565,0,0.81371367,7.094819,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
600000,520000,13421772800,0.022492977,0.02510883,0.051830523,0,0.8485929,7.097318,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
608000,528000,13421772800,0.022391811,0.02376769,0.050401244,0,0.8870034,7.0999374,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
616000,536000,13421772800,0.022184432,0.022576587,0.048993357,0,0.9284875,7.102677,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
624000,544000,13421772800,0.021860586,0.021538332,0.047605783,0,0.9726336,7.1055346,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
632000,552000,13421772800,0.021420224,0.020651463,0.046236627,0,1.0190785,7.1085114,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
640000,560000,13421772800,0.020863235,0.019909643,0.044884864,0,1.067506,7.1116056,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
648000,568000,13421772800,0.02018926,0.01930322,0.0435503,0,1.1176434,7.114817,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
656000,576000,13421772800,0.01939878,0.01881532,0.04223253,0,1.1692563,7.1181455,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
664000,584000,13421772800,0.018493196,0.018425405,0.04093114,0,1.2221446,7.121589,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
672000,592000,13421772800,0.01747495,0.018113008,0.039646015,0,1.276137,7.125149,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
680000,600000,13421772800,0.016347984,0.01785433,0.03837692,0,1.3310875,7.1288223,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
688000,608000,13421772800,0.015223716,0.01763172,0.037133884,0,1.3868709,7.132611,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
696000,616000,13421772800,0.014104596,0.017428359,0.035916943,0,1.44338,7.1365123,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
704000,624000,13421772800,0.012995832,0.01722747,0.03472644,0,1.5005232,7.140527,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
712000,632000,13421772800,0.011903174,0.017018527,0.03356209,0,1.5582211,7.1446533,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
720000,640000,13421772800,0.010832596,0.016794086,0.0324245,0,1.6164055,7.148892,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
728000,648000,13421772800,0.009789838,0.016544595,0.031313565,0,1.6750174,7.153241,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
736000,656000,13421772800,0.0009855342,0.042402804,0.01573631,0,1.7340053,7.1577015,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
744000,664000,13421772800,0.0019551287,0.040577535,0.015054029,0,1.7933247,7.162271,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
752000,672000,13421772800,0.0040946756,1.0003238,0.28899953,0,0.6606373,5.825341,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
760000,680000,13421772800,0.00496729,0.9680566,0.28722265,0,0.6823723,5.829257,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
768000,688000,13421772800,0.005784562,0.93677384,0.28547448,0,0.7049171,5.8333077,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
776000,696000,13421772800,0.0065459535,0.9064458,0.28375393,0,0.7281923,5.8374934,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
784000,704000,13421772800,0.0072518038,0.87704426,0.28206143,0,0.75212663,5.8418136,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
792000,712000,13421772800,0.007902377,0.8485436,0.28039643,0,0.7766553,5.8462667,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
800000,720000,13421772800,0.008498557,0.8209056,0.27875906,0,0.80172074,5.850853,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
808000,728000,13421772800,0.00904125,0.79410297,0.27714878,0,0.8272708,5.855571,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
816000,736000,13421772800,0.009060346,0.7263828,0.25654984,0,0.8532592,5.8604198,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
824000,744000,13421772800,0.009012653,0.70300686,0.25564462,0,0.87964433,5.8653994,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
832000,752000,13421772800,0.008916456,0.68030244,0.25473768,0,0.90638906,5.870508,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
840000,760000,13421772800,0.008711507,0.6582452,0.25358295,0,0.93346,5.8757467,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
848000,768000,13421772800,0.008462899,0.6368107,0.25219566,0,0.9608275,5.881113,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
856000,776000,13421772800,0.008173358,0.6159794,0.25059026,0,0.98846495,5.886607,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
864000,784000,13421772800,0.00784571,0.5957331,0.24878092,0,1.0163482,5.8922276,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
872000,792000,13421772800,0.0074827583,0.57605124,0.2467808,0,1.0444561,5.8979745,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
880000,800000,13421772800,0.0070872763,0.55691576,0.24460289,0,1.0727692,5.9038467,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
888000,808000,13421772800,0.0066619986,0.53830934,0.24225894,0,1.1012701,5.909844,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
896000,816000,13421772800,0.00620959,0.52021575,0.23976038,0,1.1299434,5.9159646,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
904000,824000,13421772800,0.0057562054,0.50261974,0.23712914,0,1.1587747,5.922209,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
912000,832000,13421772800,0.0053051976,0.4855052,0.23437493,0,1.1877518,5.9285755,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
920000,840000,13421772800,0.004859008,0.4688604,0.23150691,0,1.2168627,5.9350643,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
928000,848000,13421772800,0.0044231005,0.45267344,0.22853398,0,1.2460973,5.9416738,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
936000,856000,13421772800,0.0039995085,0.43693018,0.2254641,0,1.2754463,5.948404,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
944000,864000,13421772800,0.0035904252,0.4216199,0.2223055,0,1.304901,5.955254,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
952000,872000,13421772800,0.0031978192,0.40673146,0.21906641,0,1.3344537,5.962223,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
960000,880000,13421772800,0.005727842,1.1222525,0.5166566,0,0.62777597,5.125566,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
968000,888000,13421772800,0.005382798,1.0849448,0.5094342,0,0.6415453,5.1317716,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
976000,896000,13421772800,0.005059302,1.0486989,0.5022473,0,0.65552014,5.1381154,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
984000,904000,13421772800,0.004758502,1.0134842,0.4950992,0,0.6696881,5.1445966,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
992000,912000,13421772800,0.004480528,0.97927415,0.48799345,0,0.68403804,5.1512146,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1000000,920000,13421772800,0.0042252117,0.94604075,0.48093325,0,0.69855946,5.1579685,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1008000,928000,13421772800,0.0039923247,0.9137587,0.47392106,0,0.7132427,5.164857,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,0,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
