timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
252000,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,1,1,1,0,0
33428000,0.0,0.0,1.0,6.0,0.0,0.0,0.0,176,1,0,1,240,1,1
38476000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,1,1,240,1,1
