timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2],reset_integral
7432000,-0.17337479,0.14961205,-0.0009108186,0.0,0.0,-0.001,0
7436000,-0.17346267,0.14954336,-0.00091415644,0.0,0.0,-0.001,0
7448000,-0.1737966,0.1491759,-0.0008724332,0.0,0.0,-0.001,0
7472000,-0.17455167,0.14896877,-0.00095546246,0.0,0.0,-0.001,0
7488000,-0.17519584,0.14862807,-0.0010197163,0.0,0.0,-0.001,0
7508000,-0.17535175,0.14824018,-0.00092583895,0.0,0.0,-0.001,0
7528000,-0.17579465,0.14748517,-0.0009300113,0.0,0.0,-0.001,0
7552000,-0.17669304,0.14642876,-0.0009058118,0.0,0.0,-0.001,0
7572000,-0.17766325,0.145698,-0.00091415644,0.0,0.0,-0.001,0
7588000,-0.17830531,0.14513399,-0.00083363056,0.0,0.0,-0.001,0
7612000,-0.17896315,0.14447686,-0.0009408593,0.0,0.0,-0.001,0
7628000,-0.17900202,0.14460538,-0.000906229,0.0,0.0,-0.001,0
7648000,-0.17908396,0.14447899,-0.00096589327,0.0,0.0,-0.001,0
7672000,-0.17943329,0.14410923,-0.0010155439,0.0,0.0,-0.001,0
7692000,-0.17961822,0.1438448,-0.0008661747,0.0,0.0,-0.001,0
7712000,-0.17983508,0.14379805,-0.000895381,0.0,0.0,-0.001,0
7728000,-0.1801715,0.1438142,-0.00080651045,0.0,0.0,-0.001,0
7752000,-0.1807551,0.14318581,-0.00040096045,0.0,0.0,-0.001,0
7772000,-0.18150637,0.14271937,-0.00063836575,0.0,0.0,-0.001,0
7792000,-0.18219726,0.14236596,-0.000423491,0.0,0.0,-0.001,0
7812000,-0.18275943,0.14200832,-0.00064253807,0.0,0.0,-0.001,0
7832000,-0.18335453,0.14160714,-0.0004735589,0.0,0.0,-0.001,0
7852000,-0.18401513,0.14128645,-0.00066298246,0.0,0.0,-0.001,0
7872000,-0.18462548,0.14109926,-0.0005661845,0.0,0.0,-0.001,0
7888000,-0.18495373,0.14077151,-0.0006008148,0.0,0.0,-0.001,0
7912000,-0.18564768,0.14019662,-0.00061166286,0.0,0.0,-0.001,0
7928000,-0.1862403,0.13998058,-0.0005657673,0.0,0.0,-0.001,0
7952000,-0.18721633,0.13941213,-0.00069344044,0.0,0.0,-0.001,0
