timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
256000,-0.17033847,0,0,0,0,0,0,0,0,0
760000,-0.4553475,0,0,0,0,0,0,0,0,0
1000000,-0.43763086,0,0,0,0,0,0,0,0,0
1504000,-0.3962106,0,0,0,0,0,0,0,0,0
2008000,-0.3589749,0,0,0,0,0,0,0,0,0
2512000,-0.3252606,0,0,0,0,0,0,0,0,0
2524000,-0.3252606,0,0,0,0,0,0,0,0,0
3028000,-0.29450995,0,0,0,0,0,0,0,0,0
3532000,-0.26675737,0,0,0,0,0,0,0,0,0
4036000,-0.24153307,0,0,0,0,0,0,0,0,0
4540000,-0.21885622,0,0,0,0,0,0,0,0,0
5044000,-0.19834547,0,0,0,0,0,0,0,0,0
5548000,-0.17988892,0,0,0,0,0,0,0,0,0
6052000,-0.15967146,0,0,0,0,0,0,0,0,0
6556000,-0.14481302,0,0,0,0,0,0,0,0,0
7060000,-0.13096766,0,0,0,0,0,0,0,0,0
7564000,-0.11877509,0,0,0,0,0,0,0,0,0
7816000,-0.113875665,0,0,0,0,0,0,0,0,0
8320000,-0.10275274,0,0,0,0,0,0,0,0,0
8824000,-0.09266077,0,0,0,0,0,0,0,0,0
9328000,-0.08345085,0,0,0,0,0,0,0,0,0
9832000,-0.0752355,0,0,0,0,0,0,0,0,0
10336000,-0.067911394,0,0,0,0,0,0,0,0,0
10840000,-0.06126803,0,0,0,0,0,0,0,0,0
11344000,-0.05512857,0,0,0,0,0,0,0,0,0
11848000,-0.049379602,0,0,0,0,0,0,0,0,0
12352000,-0.04355255,0,0,0,0,0,0,0,0,0
12856000,-0.03908655,0,0,0,0,0,0,0,0,0
13360000,-0.03497844,0,0,0,0,0,0,0,0,0
13864000,-0.03159135,0,0,0,0,0,0,0,0,0
14368000,-0.028004996,0,0,0,0,0,0,0,0,0
14872000,-0.025004866,0,0,0,0,0,0,0,0,0
15376000,-0.022268498,0,0,0,0,0,0,0,0,0
15880000,-0.019823106,0,0,0,0,0,0,0,0,0
16384000,-0.017848704,0,0,0,0,0,0,0,0,0
16888000,-0.015837284,0,0,0,0,0,0,0,0,0
17392000,-0.01388709,0,0,0,0,0,0,0,0,0
17896000,-0.01216094,0,0,0,0,0,0,0,0,0
18400000,-0.011016799,0,0,0,0,0,0,0,0,0
18904000,-0.009492052,0,0,0,0,0,0,0,0,0
19408000,-0.00825324,0,0,0,0,0,0,0,0,0
19912000,-0.007172521,0,0,0,0,0,0,0,0,0
20416000,-0.006176022,0,0,0,0,0,0,0,0,0
20920000,-0.0054113828,0,0,0,0,0,0,0,0,0
21424000,-0.00477003,0,0,0,0,0,0,0,0,0
21928000,-0.004014948,0,0,0,0,0,0,0,0,0
22432000,-0.0033398313,0,0,0,0,0,0,0,0,0
22936000,-0.0027986472,0,0,0,0,0,0,0,0,0
23440000,-0.0022243569,0,0,0,0,0,0,0,0,0
23632000,-0.0020906178,0,0,0,0,0,0,0,0,0
24136000,-0.0011563253,0,0,0,0,0,0,0,0,0
24640000,-0.00090996607,0,0,0,0,0,0,0,0,0
25144000,-0.00053184596,0,0,0,0,0,0,0,0,0
25648000,-5.539452e-05,0,0,0,0,0,0,0,0,0
26152000,8.32828e-05,0,0,0,0,0,0,0,0,0
26656000,0.0005140814,0,0,0,0,0,0,0,0,0
27160000,0.0006398601,0,0,0,0,0,0,0,0,0
27664000,0.0013974861,0,0,0,0,0,0,0,0,0
28168000,0.0016764246,0,0,0,0,0,0,0,0,0
28672000,0.0017811182,0,0,0,0,0,0,0,0,0
29176000,0.0022137852,0,0,0,0,0,0,0,0,0
29680000,0.0025812949,0,0,0,0,0,0,0,0,0
30184000,0.0025876292,0,0,0,0,0,0,0,0,0
30688000,0.0028856266,0,0,0,0,0,0,0,0,0
31192000,0.0031685159,0,0,0,0,0,0,0,0,0
31696000,0.003477759,0,0,0,0,0,0,0,0,0
32200000,0.003702873,0,0,0,0,0,0,0,0,0
32704000,0.0035473253,0,0,0,0,0,0,0,0,0
33208000,0.0034977787,0,0,0,0,0,0,0,0,0
33436000,0.0035319082,0,0,0,0,0,0,0,0,0
33448000,0.0035319082,0,0,0,0,0,0,0,0,0
33952000,0.0034713284,0,0,0,0,0,0,0,0,0
34456000,0.0032357383,0,0,0,0,0,0,0,0,0
34960000,0.003327267,0,0,0,0,0,0,0,0,0
35464000,0.0030047786,0,0,0,0,0,0,0,0,0
35968000,0.0032733208,0,0,0,0,0,0,0,0,0
36472000,0.003058387,0,0,0,0,0,0,0,0,0
36976000,0.0033326005,0,0,0,0,0,0,0,0,0
37480000,0.0034847467,0,0,0,0,0,0,0,0,0
37984000,0.003468826,0,0,0,0,0,0,0,0,0
38488000,0.0036129479,0,0,0,0,0,0,0,0,0
38992000,0.0035068628,0,0,0,0,0,0,0,0,0
39496000,0.003454844,0,0,0,0,0,0,0,0,0
40000000,0.0035469432,0,0,0,0,0,0,0,0,0
40504000,0.0034591255,0,0,0,0,0,0,0,0,0
41008000,0.003301879,0,0,0,0,0,0,0,0,0
41512000,0.0033363039,0,0,0,0,0,0,0,0,0
42016000,-0.005326004,0,0,0,0,0,0,0,0,0
42520000,-0.018698663,0,0,0,0,0,0,0,0,0
43024000,-0.018939598,0,0,0,0,0,0,0,0,0
43528000,-0.017279956,0,0,0,0,0,0,0,0,0
44032000,-0.015894355,0,0,0,0,0,0,0,0,0
44536000,-0.014784025,0,0,0,0,0,0,0,0,0
45040000,-0.013336781,0,0,0,0,0,0,0,0,0
45544000,-0.012701447,0,0,0,0,0,0,0,0,0
46048000,-0.011641953,0,0,0,0,0,0,0,0,0
46552000,-0.0105986735,0,0,0,0,0,0,0,0,0
47056000,-0.010139947,0,0,0,0,0,0,0,0,0
47560000,-0.009737391,0,0,0,0,0,0,0,0,0
48064000,-0.008981758,0,0,0,0,0,0,0,0,0
48568000,-0.008241552,0,0,0,0,0,0,0,0,0
49072000,-0.007803396,0,0,0,0,0,0,0,0,0
49576000,-0.00724754,0,0,0,0,0,0,0,0,0
50080000,-0.007090824,0,0,0,0,0,0,0,0,0
50584000,-0.006973077,0,0,0,0,0,0,0,0,0
51088000,-0.0067709424,0,0,0,0,0,0,0,0,0
51592000,-0.0063780556,0,0,0,0,0,0,0,0,0
52096000,-0.0057445755,0,0,0,0,0,0,0,0,0
52600000,-0.005651913,0,0,0,0,0,0,0,0,0
53104000,-0.0050154966,0,0,0,0,0,0,0,0,0
53608000,-0.0044238693,0,0,0,0,0,0,0,0,0
54112000,-0.0044293706,0,0,0,0,0,0,0,0,0
54616000,-0.0039696377,0,0,0,0,0,0,0,0,0
55120000,-0.0038082264,0,0,0,0,0,0,0,0,0
55624000,-0.0034955046,0,0,0,0,0,0,0,0,0
56128000,-0.0034390194,0,0,0,0,0,0,0,0,0
56632000,-0.0034795967,0,0,0,0,0,0,0,0,0
57136000,-0.0031446244,0,0,0,0,0,0,0,0,0
57640000,-0.003285869,0,0,0,0,0,0,0,0,0
58144000,-0.0029646065,0,0,0,0,0,0,0,0,0
58648000,-0.003004368,0,0,0,0,0,0,0,0,0
59152000,-0.002712845,0,0,0,0,0,0,0,0,0
59656000,-0.0023650022,0,0,0,0,0,0,0,0,0
60160000,-0.002218861,0,0,0,0,0,0,0,0,0
60664000,-0.0018792348,0,0,0,0,0,0,0,0,0
61168000,-0.0018794199,0,0,0,0,0,0,0,0,0
61672000,-0.0019403488,0,0,0,0,0,0,0,0,0
62176000,-0.0019922,0,0,0,0,0,0,0,0,0
62680000,-0.0018084028,0,0,0,0,0,0,0,0,0
63184000,-0.001823188,0,0,0,0,0,0,0,0,0
63688000,-0.001421719,0,0,0,0,0,0,0,0,0
64192000,-0.0012820881,0,0,0,0,0,0,0,0,0
64696000,-0.0009700364,0,0,0,0,0,0,0,0,0
65200000,-0.000753042,0,0,0,0,0,0,0,0,0
65704000,-0.00082519936,0,0,0,0,0,0,0,0,0
66208000,-0.00069908105,0,0,0,0,0,0,0,0,0
66712000,-0.0007925809,0,0,0,0,0,0,0,0,0
67216000,-0.00097563816,0,0,0,0,0,0,0,0,0
67720000,-0.0012561386,0,0,0,0,0,0,0,0,0
68224000,-0.0013729803,0,0,0,0,0,0,0,0,0
68728000,-0.0012101869,0,0,0,0,0,0,0,0,0
69232000,-0.00097460387,0,0,0,0,0,0,0,0,0
69736000,-0.0012472785,0,0,0,0,0,0,0,0,0
