timestamp,timestamp_sample,device_id,pressure,temperature,error_count
1100000,1100000,6620428,95595.45,11.827326,0
2108000,2108000,6620428,95596.43,11.827326,0
3092000,3092000,6620428,95598.67,11.827326,0
4100000,4100000,6620428,95596.38,11.827326,0
5108000,5108000,6620428,95598.88,11.827326,0
6092000,6092000,6620428,95596.414,11.827326,0
7100000,7100000,6620428,95598.13,11.827326,0
8108000,8108000,6620428,95597.71,11.827326,0
9092000,9092000,6620428,95596.24,11.827326,0
10100000,10100000,6620428,95598.695,11.827326,0
11108000,11108000,6620428,95597.28,11.827326,0
12092000,12092000,6620428,95596.96,11.827326,0
13100000,13100000,6620428,95596.516,11.827326,0
14108000,14108000,6620428,95597.62,11.827326,0
15092000,15092000,6620428,95595.55,11.827326,0
16100000,16100000,6620428,95597.03,11.827326,0
17108000,17108000,6620428,95595.84,11.827326,0
18092000,18092000,6620428,95600.484,11.827326,0
19096000,19096000,6620428,95597.28,11.827326,0
20108000,20108000,6620428,95597.75,11.827326,0
21092000,21092000,6620428,95596.27,11.827326,0
22100000,22100000,6620428,95597.03,11.827326,0
23108000,23108000,6620428,95596.27,11.827326,0
24092000,24092000,6620428,95596.305,11.827326,0
25100000,25100000,6620428,95596.11,11.827326,0
26108000,26108000,6620428,95597.95,11.827326,0
27092000,27092000,6620428,95597.18,11.827326,0
28100000,28100000,6620428,95596.0,11.827326,0
29108000,29108000,6620428,95596.97,11.827326,0
30092000,30092000,6620428,95596.125,11.827326,0
31100000,31100000,6620428,95596.66,11.827326,0
32108000,32108000,6620428,95595.57,11.827326,0
33092000,33092000,6620428,95596.68,11.827326,0
34100000,34100000,6620428,95595.62,11.827326,0
35108000,35108000,6620428,95598.72,11.827326,0
36092000,36092000,6620428,95596.36,11.827326,0
37100000,37100000,6620428,95596.11,11.827326,0
38104000,38104000,6620428,95597.05,11.827326,0
39092000,39092000,6620428,95595.52,11.827326,0
40100000,40100000,6620428,95596.46,11.827326,0
41108000,41108000,6620428,95595.62,11.827326,0
42092000,42092000,6620428,95596.11,11.826593,0
43100000,43100000,6620428,95584.24,11.820337,0
44108000,44108000,6620428,95577.19,11.81637,0
45092000,45092000,6620428,95573.24,11.814173,0
46100000,46100000,6620428,95569.305,11.812891,0
47108000,47108000,6620428,95570.766,11.812159,0
48092000,48092000,6620428,95568.305,11.811762,0
49100000,49100000,6620428,95570.3,11.811609,0
50108000,50108000,6620428,95569.8,11.811518,0
51092000,51092000,6620428,95568.71,11.811426,0
52100000,52100000,6620428,95568.57,11.811304,0
53108000,53108000,6620428,95569.984,11.811365,0
54092000,54092000,6620428,95567.88,11.811396,0
55100000,55100000,6620428,95570.41,11.811396,0
56108000,56108000,6620428,95566.94,11.811396,0
57092000,57092000,6620428,95570.08,11.811365,0
58100000,58100000,6620428,95567.56,11.811304,0
59108000,59108000,6620428,95568.15,11.811426,0
60092000,60092000,6620428,95568.664,11.811548,0
61100000,61100000,6620428,95569.55,11.811762,0
62108000,62108000,6620428,95569.375,11.811853,0
63092000,63092000,6620428,95568.805,11.811823,0
64100000,64100000,6620428,95569.11,11.811823,0
65108000,65108000,6620428,95569.56,11.811823,0
66092000,66092000,6620428,95570.13,11.811914,0
67100000,67100000,6620428,95569.74,11.812006,0
68108000,68108000,6620428,95569.1,11.812159,0
69092000,69092000,6620428,95569.26,11.812372,0
70100000,70100000,6620428,95570.69,11.812677,0
71108000,71108000,6620428,95573.58,11.812922,0
72092000,72092000,6620428,95573.23,11.813105,0
73100000,73100000,6620428,95572.58,11.813166,0
74108000,74108000,6620428,95575.11,11.813227,0
75092000,75092000,6620428,95573.56,11.813257,0
76100000,76100000,6620428,95570.31,11.813227,0
77108000,77108000,6620428,95573.45,11.813227,0
78092000,78092000,6620428,95571.89,11.813135,0
79100000,79100000,6620428,95571.945,11.812922,0
80108000,80108000,6620428,95570.984,11.812738,0
81092000,81092000,6620428,95570.984,11.812616,0
82100000,82100000,6620428,95569.88,11.812464,0
83108000,83108000,6620428,95569.42,11.812372,0
84092000,84092000,6620428,95572.66,11.812311,0
85100000,85100000,6620428,95570.21,11.81222,0
86108000,86108000,6620428,95571.016,11.812159,0
87092000,87092000,6620428,95569.59,11.812098,0
88100000,88100000,6620428,95568.336,11.812006,0
89108000,89108000,6620428,95570.69,11.811945,0
90092000,90092000,6620428,95568.33,11.812006,0
91100000,91100000,6620428,95571.164,11.812067,0
92108000,92108000,6620428,95570.68,11.81222,0
93092000,93092000,6620428,95570.33,11.812311,0
94100000,94100000,6620428,95571.77,11.812464,0
95108000,95108000,6620428,95572.016,11.812616,0
96092000,96092000,6620428,95569.85,11.81283,0
97100000,97100000,6620428,95573.13,11.813044,0
98108000,98108000,6620428,95571.19,11.813135,0
99092000,99092000,6620428,95571.33,11.813135,0
100100000,100100000,6620428,95577.84,11.816736,0
101108000,101108000,6620428,95589.38,11.821894,0
102092000,102092000,6620428,95595.16,11.826624,0
103100000,103100000,6620428,95596.55,11.827326,0
104108000,104108000,6620428,95597.375,11.827326,0
105092000,105092000,6620428,95596.49,11.827326,0
106100000,106100000,6620428,95597.13,11.827326,0
