timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
356000,-0.0005323609,-1.528921,-9.174464e-07,4000,0,-9.262203,-0.1623601,-34.93116,4000,0,0,1,1
360000,-0.0010649932,-0.52331114,-0.00053309137,4000,0,-19.922386,-0.17073919,-68.82469,4000,0,0,1,1
368000,1.5603348e-09,-0.0026631614,-0.0021305291,4000,0,-0.43597844,-0.13003881,-10.009916,4000,0,0,1,1
376000,-0.0023968464,-0.0066579026,0.0010652641,4000,0,-0.38091177,-0.120462,-9.970412,4000,0,0,1,1
380000,-0.002663159,-0.0071905367,-2.9098898e-10,4000,0,-0.3653495,-0.09771707,-9.974005,4000,0,0,1,1
384000,-0.0021305294,-0.0063915877,4.558404e-10,4000,0,-0.38210887,-0.07018375,-10.005129,4000,0,0,1,1
388000,-0.0023968446,-0.007456852,-0.00026631608,4000,0,-0.38809443,-0.078563474,-9.984777,4000,0,0,1,1
392000,-0.0005326323,-0.0066579026,-0.00026631227,4000,0,-0.3605611,-0.09173159,-9.940485,4000,0,0,1,1
396000,0.0015978942,-0.0042610588,0.0010652689,4000,0,-0.35098422,-0.09771707,-9.940485,4000,0,0,1,1
400000,0.000532633,-0.0042610588,0.00053263066,4000,0,-0.37612337,-0.1216591,-9.96323,4000,0,0,1,1
404000,-0.0005326299,-0.0053263223,-0.0010652663,4000,0,-0.38689727,-0.1396156,-9.962032,4000,0,0,1,1
408000,-0.00026631556,-0.005060006,-0.0013315803,4000,0,-0.3665466,-0.1384185,-9.95126,4000,0,0,1,1
412000,-0.001065267,-0.0045273746,0.00026631466,4000,0,-0.35218135,-0.1276446,-9.958442,4000,0,0,1,1
416000,-0.0021305303,-0.0031957938,0.0007989463,4000,0,-0.3569698,-0.10489968,-9.974005,4000,0,0,1,1
420000,-0.0021305273,-0.0034621109,-0.0010652646,4000,0,-0.3605611,-0.10370259,-9.972807,4000,0,0,1,1
424000,-0.001864214,-0.0061252713,-0.0010652625,4000,0,-0.37612337,-0.1264475,-9.970412,4000,0,0,1,1
428000,0.00026631157,-0.008255802,0.00079895405,4000,0,-0.3916857,-0.1384185,-9.969214,4000,0,0,1,1
432000,0.0018642116,-0.0085221175,0.001331585,4000,0,-0.38450307,-0.13243301,-9.960836,4000,0,0,1,1
436000,0.0005326338,-0.0069242185,0.00053262943,4000,0,-0.38091177,-0.10609678,-9.964428,4000,0,0,1,1
440000,-0.00026631725,-0.007723168,0.0010652625,4000,0,-0.3689408,-0.08933737,-9.977594,4000,0,0,1,1
444000,-0.00026631835,-0.009321064,0.0021305294,4000,0,-0.3569698,-0.09891417,-9.989566,4000,0,0,1,1
448000,-0.00053263473,-0.008255802,0.0026631604,4000,0,-0.3581669,-0.10370259,-9.984777,4000,0,0,1,1
452000,0.00026631416,-0.008522117,0.0034621116,4000,0,-0.34260455,-0.10130839,-9.989566,4000,0,0,1,1
456000,0.00079895084,-0.007989484,0.0023968467,4000,0,-0.32823935,-0.10489968,-10.003931,4000,0,0,1,1
